"Year","Mo","Dy","Tsu","Eq","Name","Location","Country","Latitude","Longitude","Elevation..m.","Type","Eruption","VEI","Agent","Deaths","Death.Description","Missing","Missing.Description","Injuries","Injuries.Description","Damage...Mil.","Damage.Description","Houses.Destroyed","Houses.Destroyed.Description","Total.Deaths","Total.Death.Description","Total.Missing","Total.Missing.Description","Total.Injuries","Total.Injuries.Description","Total.Damage...Mil.","Total.Damage.Description","Total.Houses.Destroyed","Total.Houses.Destroyed.Description"
1981,NA,NA,NA,NA,"Vilyuchinsky","Kamchatka","Russia",52.7,158.28,2173,"Stratovolcano","true",NA,"A",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
1982,3,29,NA,7221,"Chichon, El","Mexico","Mexico",17.36,-93.23,1150,"Tuff cone","true",5,"P,T,M,S",1879,4,1755,4,NA,NA,3.3,2,NA,NA,1879,4,1755,4,NA,NA,3.3,2,NA,NA
1982,4,4,NA,NA,"Chichon, El","Mexico","Mexico",17.36,-93.23,1150,"Tuff cone","true",5,"P",33,1,NA,NA,NA,NA,NA,NA,NA,NA,33,1,NA,NA,NA,NA,NA,NA,NA,NA
1982,5,17,NA,NA,"Galunggung","Java","Indonesia",-7.25,108.058,2168,"Stratovolcano","true",4,"I,T",68,2,NA,NA,NA,NA,15,3,NA,NA,68,2,NA,NA,NA,NA,15,3,NA,NA
1982,5,27,NA,NA,"Chichon, El","Mexico","Mexico",17.36,-93.23,1150,"Tuff cone","true",5,"m",1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
1983,3,8,NA,NA,"Klyuchevskoy","Kamchatka","Russia",56.056,160.642,4754,"Stratovolcano","true",2,"T",1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
1983,7,23,NA,NA,"Colo","Sulawesi-Indonesia","Indonesia",-0.162,121.601,404,"Stratovolcano","true",4,"",NA,NA,NA,NA,NA,NA,NA,2,NA,3,NA,NA,NA,NA,NA,NA,NA,2,NA,3
1983,8,17,4702,NA,"Iliwerung","Lesser Sunda Is","Indonesia",-8.532,123.573,583,"Complex volcano","true",1,"W",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1983,10,3,NA,4990,"Miyakejima","Izu Is-Japan","Japan",34.094,139.526,775,"Stratovolcano","true",3,"L,T",NA,NA,NA,NA,NA,NA,NA,1,400,3,NA,NA,NA,NA,NA,NA,NA,2,400,3
1984,9,9,NA,NA,"Mayon","Luzon-Philippines","Philippines",13.257,123.685,2462,"Stratovolcano","true",3,"M",1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
