"Year","Mo","Dy","Tsu","Eq","Name","Location","Country","Latitude","Longitude","Elevation..m.","Type","Eruption","VEI","Agent","Deaths","Death.Description","Missing","Missing.Description","Injuries","Injuries.Description","Damage...Mil.","Damage.Description","Houses.Destroyed","Houses.Destroyed.Description","Total.Deaths","Total.Death.Description","Total.Missing","Total.Missing.Description","Total.Injuries","Total.Injuries.Description","Total.Damage...Mil.","Total.Damage.Description","Total.Houses.Destroyed","Total.Houses.Destroyed.Description"
1999,10,16,NA,NA,"Tungurahua","Ecuador","Ecuador",-1.467,-78.442,5023,"Stratovolcano","true",3,"T",1,1,NA,NA,4,1,NA,NA,NA,NA,1,1,NA,NA,4,1,NA,NA,NA,NA
2000,6,27,2340,5568,"Miyakejima","Izu Is-Japan","Japan",34.094,139.526,775,"Stratovolcano","true",2,"",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,3,NA,1,NA,NA
2000,7,27,NA,NA,"Semeru","Java","Indonesia",-8.108,112.922,3657,"Stratovolcano","true",3,"T",2,1,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA
2000,8,23,NA,NA,"Arenal","Costa Rica","Costa Rica",10.463,-84.703,1670,"Stratovolcano","true",3,"P",2,1,NA,NA,1,1,NA,NA,NA,NA,2,1,NA,NA,1,1,NA,NA,NA,NA
2000,11,3,NA,NA,"Kilauea","Hawaiian Is","United States",19.421,-155.287,1222,"Shield volcano","true",NA,"G",2,1,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA
2000,11,NA,NA,NA,"Merapi","Java","Indonesia",-7.54,110.446,2910,"Stratovolcano","true",2,"A",1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
2001,5,14,NA,NA,"Etna","Italy","Italy",37.748,14.999,3357,"Stratovolcano","true",3,"",1,1,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA
2001,7,26,NA,NA,"Etna","Italy","Italy",37.748,14.999,3357,"Stratovolcano","true",2,"",NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1
2001,8,5,NA,NA,"Merapi","Java","Indonesia",-7.54,110.446,2910,"Stratovolcano","true",2,"P",2,1,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA
2001,10,20,NA,NA,"Stromboli","Italy","Italy",38.789,15.213,924,"Stratovolcano","true",2,"T",1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
2002,1,3,NA,NA,"Karangetang","Sangihe Is-Indonesia","Indonesia",2.781,125.407,1797,"Stratovolcano","true",3,"M",NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1
2002,1,17,NA,NA,"Nyiragongo","Africa-C","Congo, DRC",-1.52,29.25,3470,"Stratovolcano","true",1,"L",100,2,NA,NA,400,3,NA,3,NA,3,100,2,NA,NA,NA,3,NA,3,NA,3
2002,8,28,NA,5659,"Etna","Italy","Italy",37.748,14.999,3357,"Stratovolcano","true",3,"",NA,NA,NA,NA,32,1,NA,2,NA,2,NA,NA,NA,NA,32,1,NA,2,NA,2
2002,11,3,NA,NA,"Reventador","Ecuador","Ecuador",-0.077,-77.656,3562,"Stratovolcano","true",4,"I",NA,1,NA,NA,NA,1,NA,1,NA,1,NA,1,NA,NA,NA,1,NA,1,NA,1
2002,12,30,2923,NA,"Stromboli","Italy","Italy",38.789,15.213,924,"Stratovolcano","true",NA,"",NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,1
2002,NA,NA,NA,NA,"Semeru","Java","Indonesia",-8.108,112.922,3657,"Stratovolcano","true",3,"T",3,1,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA
2003,7,12,2694,NA,"Soufriere Hills","W Indies","Montserrat",16.72,-62.18,915,"Stratovolcano","true",3,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004,1,29,NA,NA,"Egon","Lesser Sunda Is","Indonesia",-8.676,122.455,1661,"Stratovolcano","true",1,"T",1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
2004,6,8,NA,NA,"Tengger Caldera","Java","Indonesia",-7.942,112.95,2329,"Stratovolcano","true",2,"T",2,1,NA,NA,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004,10,24,NA,NA,"Manam","New Guinea-NE of","Papua New Guinea",-4.08,145.037,1807,"Stratovolcano","true",4,"T",5,1,NA,NA,NA,NA,NA,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,NA,NA
2005,1,27,NA,NA,"Manam","New Guinea-NE of","Papua New Guinea",-4.08,145.037,1807,"Stratovolcano","true",4,"T",1,1,NA,NA,14,1,NA,NA,NA,NA,1,1,NA,NA,14,1,NA,NA,NA,NA
2005,10,1,NA,NA,"Santa Ana","El Salvador","El Salvador",13.853,-89.63,2381,"Stratovolcano","true",3,"A",2,1,NA,NA,NA,1,NA,NA,NA,NA,2,1,NA,NA,NA,1,NA,NA,NA,NA
2005,11,25,NA,NA,"Karthala","Indian O-W","Comoros",-11.75,43.38,2361,"Shield volcano","true",3,"T",1,1,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA
2006,3,17,NA,NA,"Raoul Island","Kermadec Is","New Zealand",-29.27,-177.92,516,"Stratovolcano","true",1,"T",1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
2006,5,20,2877,NA,"Soufriere Hills","W Indies","Montserrat",16.72,-62.18,915,"Stratovolcano","true",2,"P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,6,7,NA,NA,"Bulusan","Luzon-Philippines","Philippines",12.769,124.056,1535,"Stratovolcano","true",2,"",1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
2006,6,14,NA,NA,"Merapi","Java","Indonesia",-7.54,110.446,2910,"Stratovolcano","true",1,"P",2,1,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA
2006,7,18,NA,NA,"Tungurahua","Ecuador","Ecuador",-1.467,-78.442,5023,"Stratovolcano","true",3,"",1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
2006,8,17,NA,NA,"Tungurahua","Ecuador","Ecuador",-1.467,-78.442,5023,"Stratovolcano","true",3,"T",5,1,NA,2,13,1,NA,3,NA,3,6,1,NA,2,NA,2,NA,3,NA,3
2006,11,30,NA,NA,"Mayon","Luzon-Philippines","Philippines",13.257,123.685,2462,"Stratovolcano","true",1,"m",1266,4,NA,NA,NA,NA,NA,1,NA,NA,1266,4,NA,NA,NA,NA,NA,1,NA,NA
2007,3,NA,NA,NA,"Manam","New Guinea-NE of","Papua New Guinea",-4.08,145.037,1807,"Stratovolcano","true",4,"M",4,1,NA,NA,1,1,NA,NA,NA,NA,4,1,NA,NA,1,1,NA,NA,NA,NA
2007,4,18,NA,NA,"Huila, Nevado del","Colombia","Colombia",2.93,-76.03,5364,"Stratovolcano","true",NA,"",NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,1
2007,5,19,5758,NA,"Ritter Island","New Guinea-NE of","Papua New Guinea",-5.519,148.115,75,"Stratovolcano","true",1,"A,W",NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1
2007,9,30,NA,NA,"Tair, Jebel at","Red Sea","Yemen",15.55,41.83,244,"Stratovolcano","true",3,"",7,1,NA,NA,1,1,NA,NA,NA,NA,7,1,NA,NA,1,1,NA,NA,NA,NA
2008,5,2,NA,NA,"Chaiten","Chile-S","Chile",-42.835,-72.651,1122,"Caldera","true",NA,"",1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
2008,8,8,3587,NA,"Kasatochi","Aleutian Is","United States",52.177,-175.508,314,"Stratovolcano","true",3,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,8,22,NA,NA,"Tungurahua","Ecuador","Ecuador",-1.467,-78.442,5023,"Stratovolcano","true",3,"M",2,1,NA,NA,2,1,NA,1,2,1,2,1,NA,NA,2,1,NA,1,2,1
2008,11,20,NA,NA,"Huila, Nevado del","Colombia","Colombia",2.93,-76.03,5364,"Stratovolcano","true",NA,"",10,1,NA,1,NA,1,NA,NA,NA,NA,10,1,NA,1,NA,1,NA,NA,NA,NA
2009,3,23,NA,NA,"Redoubt","Alaska-SW","United States",60.485,-152.742,3108,"Stratovolcano","true",NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
2009,11,30,NA,NA,"Kilauea","Hawaiian Is","United States",19.421,-155.287,1222,"Shield volcano","true",NA,"",NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA
2010,1,NA,NA,NA,"Tungurahua","Ecuador","Ecuador",-1.467,-78.442,5023,"Stratovolcano","true",3,"",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
2010,3,31,NA,NA,"Eyjafjallajokull","Iceland-S","Iceland",63.633,-19.633,1651,"Stratovolcano","true",2,"",2,1,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA
2010,5,27,NA,NA,"Pacaya","Guatemala","Guatemala",14.382,-90.601,2569,"Complex volcano","true",1,"T",1,1,3,1,NA,NA,NA,1,3,1,1,1,3,1,NA,NA,NA,1,3,1
2010,5,29,4822,9172,"Zealandia Bank","Mariana Is-C Pacific","United States",16.88,145.85,0,"Stratovolcano","true",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,8,6,NA,NA,"Karangetang","Sangihe Is-Indonesia","Indonesia",2.781,125.407,1797,"Stratovolcano","true",3,"",4,1,NA,NA,5,1,NA,NA,NA,1,4,1,NA,NA,5,1,NA,NA,NA,1
2010,8,30,NA,NA,"Sinabung","Sumatra","Indonesia",3.17,98.392,2460,"Stratovolcano","true",NA,"",2,1,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA
2010,10,26,NA,NA,"Merapi","Java","Indonesia",-7.54,110.446,2910,"Stratovolcano","true",NA,"",367,3,NA,NA,277,3,600,4,NA,3,367,3,NA,NA,277,3,600,4,NA,3
2010,11,NA,NA,NA,"Tungurahua","Ecuador","Ecuador",-1.467,-78.442,5023,"Stratovolcano","true",3,"",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
2010,12,28,NA,NA,"Tengger Caldera","Java","Indonesia",-7.942,112.95,2329,"Stratovolcano","true",NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,1,3,NA,NA,"Merapi","Java","Indonesia",-7.54,110.446,2910,"Stratovolcano","true",NA,"M",1,1,NA,NA,1,1,NA,1,NA,NA,1,1,NA,NA,1,1,NA,1,NA,NA
2011,1,28,NA,NA,"Kirishimayama","Kyushu-Japan","Japan",31.934,130.862,1700,"Shield volcano","true",NA,"",NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA
2011,2,23,NA,NA,"Bulusan","Luzon-Philippines","Philippines",12.769,124.056,1535,"Stratovolcano","true",2,"",1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
2011,3,18,NA,NA,"Karangetang","Sangihe Is-Indonesia","Indonesia",2.781,125.407,1797,"Stratovolcano","true",NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
2011,4,NA,NA,NA,"Tungurahua","Ecuador","Ecuador",-1.467,-78.442,5023,"Stratovolcano","true",4,"",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
2011,6,4,NA,NA,"Puyehue-Cordon Caulle","Chile-C","Chile",-40.59,-72.117,2236,"Stratovolcano","true",4,"",NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA
2011,6,22,NA,NA,"Nabro","Africa-NE","Eritrea",13.37,41.7,2218,"Stratovolcano","true",4,"",31,1,NA,NA,NA,3,NA,1,NA,NA,31,1,NA,NA,NA,3,NA,1,NA,NA
2011,7,9,NA,NA,"Katla","Iceland-S","Iceland",63.633,-19.083,1490,"Subglacial volcano","true",NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
2011,7,17,NA,NA,"Lokon-Empung","Sulawesi-Indonesia","Indonesia",1.358,124.792,1580,"Stratovolcano","true",NA,"",1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
2011,12,27,NA,NA,"Gamalama","Halmahera-Indonesia","Indonesia",0.81,127.332,1714,"Stratovolcano","true",3,"m",4,1,NA,NA,NA,1,NA,NA,NA,NA,4,1,NA,NA,NA,1,NA,NA,NA,NA
2012,2,10,NA,NA,"Kilauea","Hawaiian Is","United States",19.421,-155.287,1222,"Shield volcano","true",NA,"",NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA
2012,3,2,NA,NA,"Kilauea","Hawaiian Is","United States",19.421,-155.287,1222,"Shield volcano","true",NA,"L",NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,12,12,NA,NA,"Tolbachik","Kamchatka","Russia",55.832,160.326,3611,"Shield volcano","true",NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
2013,2,12,NA,NA,"Merapi","Java","Indonesia",-7.54,110.446,2910,"Stratovolcano","true",NA,"M",1,1,NA,NA,1,1,NA,1,NA,NA,1,1,NA,NA,1,1,NA,1,NA,NA
2013,2,NA,NA,NA,"Paluweh","Lesser Sunda Is","Indonesia",-8.32,121.708,875,"Stratovolcano","true",NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1
2013,5,7,NA,NA,"Mayon","Luzon-Philippines","Philippines",13.257,123.685,2462,"Stratovolcano","true",NA,"",5,1,NA,NA,8,1,NA,NA,NA,NA,5,1,NA,NA,8,1,NA,NA,NA,NA
2013,8,10,NA,NA,"Paluweh","Lesser Sunda Is","Indonesia",-8.32,121.708,875,"Stratovolcano","true",3,"",5,1,NA,NA,NA,NA,NA,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,NA,NA
2013,9,1,NA,NA,"Ubinas","Peru","Peru",-16.345,-70.897,5608,"Stratovolcano","true",NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
2013,9,4,NA,NA,"Aira","Kyushu-Japan","Japan",31.577,130.659,1117,"Stratovolcano","true",NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
2013,9,15,NA,NA,"Sinabung","Sumatra","Indonesia",3.17,98.392,2460,"Stratovolcano","true",2,"",NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA
2014,2,1,NA,NA,"Sinabung","Sumatra","Indonesia",3.17,98.392,2460,"Stratovolcano","true",NA,"",17,1,NA,NA,3,1,NA,1,NA,2,17,1,NA,NA,3,1,NA,1,NA,2
2014,2,13,NA,NA,"Kelud","Java","Indonesia",-7.935,112.314,1730,"Stratovolcano","true",NA,"",7,1,NA,NA,NA,NA,NA,3,4098,4,7,1,NA,NA,NA,NA,NA,3,4098,4
2014,9,27,NA,NA,"Ontakesan","Honshu-Japan","Japan",35.893,137.48,3067,"Complex volcano","true",3,"",55,2,NA,NA,70,2,NA,NA,NA,NA,55,2,NA,NA,70,2,NA,NA,NA,NA
2014,11,10,NA,NA,"Kilauea","Hawaiian Is","United States",19.421,-155.287,1222,"Shield volcano","true",NA,"",NA,NA,NA,NA,NA,NA,14.5,3,1,1,NA,NA,NA,NA,NA,NA,14.5,3,1,1
2014,11,23,NA,NA,"Fogo","Cape Verde Is","Cape Verde",14.95,-24.35,2829,"Stratovolcano","true",NA,"L",NA,NA,NA,NA,NA,NA,NA,2,230,3,NA,NA,NA,NA,NA,NA,NA,2,230,3
2014,12,18,NA,NA,"Gamalama","Halmahera-Indonesia","Indonesia",0.81,127.332,1714,"Stratovolcano","true",NA,"",1,1,NA,NA,4,1,NA,NA,NA,NA,1,1,NA,NA,4,1,NA,NA,NA,NA
2015,2,20,NA,NA,"Sinabung","Sumatra","Indonesia",3.17,98.392,2460,"Stratovolcano","true",NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1
2015,4,22,NA,NA,"Calbuco","Chile-S","Chile",-41.33,-72.618,1974,"Stratovolcano","true",NA,"",NA,NA,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,2,NA,2
2015,5,7,NA,NA,"Karangetang","Sangihe Is-Indonesia","Indonesia",2.781,125.407,1797,"Stratovolcano","true",NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1
2015,7,31,NA,NA,"Manam","New Guinea-NE of","Papua New Guinea",-4.08,145.037,1807,"Stratovolcano","true",2,"",NA,NA,NA,NA,2,1,NA,1,NA,NA,NA,NA,NA,NA,2,1,NA,1,NA,NA
2015,10,16,NA,NA,"Sinabung","Sumatra","Indonesia",3.17,98.392,2460,"Stratovolcano","true",NA,"M",1,1,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA
2016,5,9,NA,NA,"Sinabung","Sumatra","Indonesia",3.17,98.392,2460,"Stratovolcano","true",NA,"",1,1,NA,NA,4,1,NA,1,3,1,1,1,NA,NA,4,1,NA,1,NA,NA
2016,5,21,NA,NA,"Sinabung","Sumatra","Indonesia",3.17,98.392,2460,"Stratovolcano","true",NA,"",7,1,NA,NA,3,1,100,4,NA,NA,7,1,NA,NA,3,1,100,4,NA,NA
2016,6,9,NA,NA,"Yellowstone","US-Wyoming","United States",44.43,-110.67,2805,"Caldera","true",NA,"",1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
2016,9,27,NA,NA,"Rinjani","Lesser Sunda Is","Indonesia",-8.42,116.47,3726,"Stratovolcano","true",NA,"",NA,NA,44,1,NA,NA,NA,NA,NA,NA,NA,NA,44,1,NA,NA,NA,NA,NA,NA
2016,10,8,NA,NA,"Asosan","Kyushu-Japan","Japan",32.885,131.085,1592,"Caldera","true",NA,"T",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
2017,3,15,NA,NA,"Etna","Italy","Italy",37.748,14.999,3357,"Stratovolcano","true",NA,"P",NA,NA,NA,NA,10,1,NA,NA,NA,NA,NA,NA,NA,NA,10,1,NA,NA,NA,NA
2017,4,13,NA,NA,"Sinabung","Sumatra","Indonesia",3.17,98.392,2460,"Stratovolcano","true",2,"P",NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,2
2017,6,6,NA,NA,"Fuego","Guatemala","Guatemala",14.473,-90.88,3763,"Stratovolcano","true",2,"P",NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA
2017,7,1,NA,NA,"Dieng Volcanic Complex","Java","Indonesia",-7.2,109.879,2565,"Complex volcano","true",NA,"",8,1,NA,NA,11,1,NA,NA,NA,NA,8,1,NA,NA,11,1,NA,NA,NA,NA
2017,9,12,NA,NA,"Campi Flegrei","Italy","Italy",40.827,14.139,458,"Caldera","true",NA,"",3,1,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA
2017,9,23,NA,NA,"Ambae","Vanuatu-SW Pacific","Vanuatu",-15.389,167.835,1496,"Shield volcano","true",NA,"T",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
2017,12,27,NA,NA,"Sinabung","Sumatra","Indonesia",3.17,98.392,2460,"Stratovolcano","true",NA,"T",NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA
2018,1,5,NA,NA,"Kadovar","New Guinea-NE of","Papua New Guinea",-3.608,144.588,365,"Stratovolcano","true",2,"T",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
2018,1,13,NA,NA,"Mayon","Luzon-Philippines","Philippines",13.257,123.685,2462,"Stratovolcano","true",2,"T,P",NA,NA,NA,NA,1972,4,3.564,2,NA,NA,NA,NA,NA,NA,1972,4,3.564,2,NA,NA
2018,1,23,NA,NA,"Kusatsu-Shiranesan","Honshu-Japan","Japan",36.618,138.528,2165,"Stratovolcano","true",1,"T",1,1,NA,NA,11,1,NA,1,NA,NA,1,1,NA,NA,11,1,NA,1,NA,NA
2018,2,1,NA,NA,"Kilauea","Hawaiian Is","United States",19.421,-155.287,1222,"Shield volcano","true",1,"G",1,1,NA,NA,3,1,NA,NA,NA,NA,1,1,NA,NA,3,1,NA,NA,NA,NA
2018,2,9,5676,NA,"Kadovar","New Guinea-NE of","Papua New Guinea",-3.608,144.588,365,"Stratovolcano","true",2,"W",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,3,30,NA,NA,"Ambae","Vanuatu-SW Pacific","Vanuatu",-15.389,167.835,1496,"Shield volcano","true",3,"T,G,M",4,1,NA,NA,NA,NA,NA,2,NA,1,4,1,NA,NA,NA,NA,NA,2,NA,1
2018,4,28,5678,10332,"Kilauea","Hawaiian Is","United States",19.421,-155.287,1222,"Shield volcano","true",1,"L",NA,NA,NA,NA,1,1,370,4,716,3,NA,NA,NA,NA,1,1,370,4,716,3
2018,6,3,NA,NA,"Fuego","Guatemala","Guatemala",14.473,-90.88,3763,"Stratovolcano","true",2,"P",201,3,229,3,27,1,120,4,186,3,201,3,229,3,27,1,120,4,186,3
2018,7,16,NA,NA,"Kilauea","Hawaiian Is","United States",19.421,-155.287,1222,"Shield volcano","true",NA,"T",NA,NA,NA,NA,23,1,1,1,NA,NA,NA,NA,NA,NA,23,1,1,1,NA,NA
2018,8,25,NA,NA,"Manam","New Guinea-NE of","Papua New Guinea",-4.08,145.037,1807,"Stratovolcano","true",4,"L,T",NA,NA,NA,NA,NA,NA,NA,3,164,3,NA,NA,NA,NA,NA,NA,NA,3,164,3
2018,12,15,NA,10382,"Ambrym","Vanuatu-SW Pacific","Vanuatu",-16.25,168.12,1334,"Pyroclastic shield","true",2,"S,T,G",NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,1
2018,12,22,5699,NA,"Krakatau","Indonesia","Indonesia",-6.101,105.423,285,"Caldera","true",3,"W",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,437,3,10,1,31943,4,250,4,2844,4
2018,12,26,NA,10383,"Etna","Italy","Italy",37.748,14.999,3357,"Stratovolcano","true",2,"S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,1,115,4,15,1
2019,1,7,NA,NA,"Manam","New Guinea-NE of","Papua New Guinea",-4.08,145.037,1807,"Stratovolcano","true",4,"T",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
2019,5,7,NA,NA,"Sinabung","Sumatra","Indonesia",3.17,98.392,2460,"Stratovolcano","true",4,"T",NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA
2019,6,26,NA,NA,"Ulawun","New Britain-SW Pac","Papua New Guinea",-5.05,151.33,2334,"Stratovolcano","true",4,"P,T",NA,NA,NA,NA,2,1,14,3,NA,NA,NA,NA,NA,NA,2,1,14,3,NA,NA
2019,6,28,NA,NA,"Manam","New Guinea-NE of","Papua New Guinea",-4.08,145.037,1807,"Stratovolcano","true",4,"A,P,T",NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA
2019,7,3,5913,NA,"Stromboli","Italy","Italy",38.789,15.213,924,"Stratovolcano","true",2,"P,T,W",1,1,NA,NA,1,1,NA,NA,NA,NA,1,1,NA,NA,1,1,NA,NA,NA,NA
2019,8,28,5716,NA,"Stromboli","Italy","Italy",38.789,15.213,924,"Stratovolcano","true",2,"W",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,12,9,NA,NA,"Whakaari/White Island","New Zealand","New Zealand",-37.52,177.18,294,"Stratovolcano","true",2,"T",22,1,NA,NA,25,1,NA,NA,NA,NA,22,1,NA,NA,25,1,NA,NA,NA,NA
2020,1,12,NA,NA,"Taal","Luzon-Philippines","Philippines",14.011,120.998,311,"Stratovolcano","true",4,"T",39,1,NA,NA,NA,NA,67,4,4573,4,39,1,NA,NA,NA,NA,67,4,4573,4
2020,5,29,5748,10501,"Ijen","Java","Indonesia",-8.058,114.242,2769,"Stratovolcano","true",NA,"G,W, S",1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
2021,3,5,NA,NA,"Sangay","Ecuador","Ecuador",-2.005,-78.341,5286,"Stratovolcano","true",2,"T",NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA
2021,3,NA,NA,NA,"Pacaya","Guatemala","Guatemala",14.382,-90.601,2569,"Complex volcano","true",1,"L,T",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
2021,4,9,5905,NA,"Soufriere St. Vincent","W Indies","St. Vincent & the Grenadines",13.33,-61.18,1220,"Stratovolcano","true",4,"T,W",NA,NA,NA,NA,NA,NA,325,4,NA,NA,NA,NA,NA,NA,NA,NA,325,4,NA,NA
2021,5,19,5912,NA,"Stromboli","Italy","Italy",38.789,15.213,924,"Stratovolcano","true",2,"W",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
