"Year","Mo","Dy","Tsu","Eq","Name","Location","Country","Latitude","Longitude","Elevation..m.","Type","Eruption","VEI","Agent","Deaths","Death.Description","Missing","Missing.Description","Injuries","Injuries.Description","Damage...Mil.","Damage.Description","Houses.Destroyed","Houses.Destroyed.Description","Total.Deaths","Total.Death.Description","Total.Missing","Total.Missing.Description","Total.Injuries","Total.Injuries.Description","Total.Damage...Mil.","Total.Damage.Description","Total.Houses.Destroyed","Total.Houses.Destroyed.Description","Cumulative_Eruptions"
2015,4,22,NA,NA,"Calbuco","Chile-S","Chile",-41.33,-72.618,1974,"Stratovolcano","true",NA,"",NA,NA,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,2,NA,2,680
2015,5,7,NA,NA,"Karangetang","Sangihe Is-Indonesia","Indonesia",2.781,125.407,1797,"Stratovolcano","true",NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,681
2015,7,31,NA,NA,"Manam","New Guinea-NE of","Papua New Guinea",-4.08,145.037,1807,"Stratovolcano","true",2,"",NA,NA,NA,NA,2,1,NA,1,NA,NA,NA,NA,NA,NA,2,1,NA,1,NA,NA,682
2015,10,16,NA,NA,"Sinabung","Sumatra","Indonesia",3.17,98.392,2460,"Stratovolcano","true",NA,"M",1,1,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,683
2016,5,9,NA,NA,"Sinabung","Sumatra","Indonesia",3.17,98.392,2460,"Stratovolcano","true",NA,"",1,1,NA,NA,4,1,NA,1,3,1,1,1,NA,NA,4,1,NA,1,NA,NA,684
2016,5,21,NA,NA,"Sinabung","Sumatra","Indonesia",3.17,98.392,2460,"Stratovolcano","true",NA,"",7,1,NA,NA,3,1,100,4,NA,NA,7,1,NA,NA,3,1,100,4,NA,NA,685
2016,6,9,NA,NA,"Yellowstone","US-Wyoming","United States",44.43,-110.67,2805,"Caldera","true",NA,"",1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,686
2016,9,27,NA,NA,"Rinjani","Lesser Sunda Is","Indonesia",-8.42,116.47,3726,"Stratovolcano","true",NA,"",NA,NA,44,1,NA,NA,NA,NA,NA,NA,NA,NA,44,1,NA,NA,NA,NA,NA,NA,687
2016,10,8,NA,NA,"Asosan","Kyushu-Japan","Japan",32.885,131.085,1592,"Caldera","true",NA,"T",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,688
2017,3,15,NA,NA,"Etna","Italy","Italy",37.748,14.999,3357,"Stratovolcano","true",NA,"P",NA,NA,NA,NA,10,1,NA,NA,NA,NA,NA,NA,NA,NA,10,1,NA,NA,NA,NA,689
