"Volcano.Number","Volcano.Name","Country","Volcanic.Region.Group","Volcanic.Region","Volcano.Landform","Primary.Volcano.Type","Activity.Evidence","Last.Known.Eruption.1","Latitude","Longitude","Elevation..m.","Dominant.Rock.Type","Tectonic.Setting","Location","Type","Status","Last.Known.Eruption","Dist_to_Darwin"
264100,"Ebulobo","Indonesia","Sunda-Banda Volcanic Regions","Sunda Volcanic Arc","Composite","Stratovolcano","Eruption Observed","1969 CE",-8.817,121.191,2096,"Andesite / Basaltic Andesite","Subduction zone / Crustal thickness unknown","Lesser Sunda Is","Stratovolcano","Historical","D1",1130.08645178885
264080,"Inierie","Indonesia","Sunda-Banda Volcanic Regions","Sunda Volcanic Arc","Composite","Stratovolcano","Eruption Dated","8050 BCE",-8.875,120.95,2245,"Andesite / Basaltic Andesite","Subduction zone / Crustal thickness unknown","Lesser Sunda Is","Stratovolcano","Fumarolic","U",1152.36137752393
264090,"Inielika","Indonesia","Sunda-Banda Volcanic Regions","Sunda Volcanic Arc","Composite","Complex","Eruption Observed","2001 CE",-8.73,120.98,1559,"Andesite / Basaltic Andesite","Subduction zone / Crustal thickness unknown","Lesser Sunda Is","Complex volcano","Historical","D2",1155.20896144639
264071,"Ranakah","Indonesia","Sunda-Banda Volcanic Regions","Sunda Volcanic Arc","Cluster","Lava dome(s)","Eruption Observed","1991 CE",-8.637,120.5302,2288,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Lesser Sunda Is","Lava dome","Historical","D1",1204.96512229678
264070,"Poco Leok","Indonesia","Sunda-Banda Volcanic Regions","Sunda Volcanic Arc","Composite","Stratovolcano",NA,NA,-8.68,120.48,1675,"Andesite / Basaltic Andesite","Subduction zone / Crustal thickness unknown","Lesser Sunda Is","Unknown","Fumarolic","U",1208.35648299303
264060,"Sano, Wai","Indonesia","Sunda-Banda Volcanic Regions","Sunda Volcanic Arc","Composite","Caldera","Evidence Credible","Unknown",-8.7345,120.0074,1319,"Dacite","Subduction zone / Continental crust (>25 km)","Lesser Sunda Is","Caldera","Holocene","U",1254.78642147718
264842,"Beliling","Indonesia","Sunda-Banda Volcanic Regions","Sunda Volcanic Arc","Unknown","Unknown",NA,NA,-8.62,119.97,1153,NA,"Subduction zone / Continental crust (>25 km)",NA,NA,NA,NA,1263.09113479707
264841,"Ora, Doro","Indonesia","Sunda-Banda Volcanic Regions","Sunda Volcanic Arc","Unknown","Unknown",NA,NA,-8.75,119.67,668,NA,"Subduction zone / Continental crust (>25 km)",NA,NA,NA,NA,1289.05659317289
264840,"Otota, Doro","Indonesia","Sunda-Banda Volcanic Regions","Sunda Volcanic Arc","Unknown","Unknown",NA,NA,-8.72,119.42,518,NA,"Subduction zone / Continental crust (>25 km)",NA,NA,NA,NA,1316.06629154849
264839,"Gilibanta","Indonesia","Sunda-Banda Volcanic Regions","Sunda Volcanic Arc","Composite","Stratovolcano?",NA,NA,-8.42,119.32,363,NA,"Subduction zone / Continental crust (>25 km)",NA,NA,NA,NA,1337.81956757238
