"Volcano.Number","Volcano.Name","Country","Volcanic.Region.Group","Volcanic.Region","Volcano.Landform","Primary.Volcano.Type","Activity.Evidence","Last.Known.Eruption.1","Latitude","Longitude","Elevation..m.","Dominant.Rock.Type","Tectonic.Setting","Location","Type","Status","Last.Known.Eruption","Tectonic_Summary"
210801,"South Harghita Mountains","Romania","European Volcanic Regions","Central European Volcanic Province","Minor","Lava dome(s)",NA,NA,46.13,25.88,1289,NA,"Intraplate / Continental crust (>25 km)",NA,NA,NA,NA,"Intraplate"
210802,"Persani Mountains","Romania","European Volcanic Regions","Central European Volcanic Province","Cluster","Volcanic field",NA,NA,45.982,25.339,623,NA,"Intraplate / Continental crust (>25 km)",NA,NA,NA,NA,"Intraplate"
210803,"Apuseni Mountains","Romania","European Volcanic Regions","Central European Volcanic Province","Cluster","Volcanic field",NA,NA,45.93,22.88,353,NA,"Intraplate / Continental crust (>25 km)",NA,NA,NA,NA,"Intraplate"
210804,"Lucaret Basalts","Romania","European Volcanic Regions","Central European Volcanic Province","Cluster","Fissure vent",NA,NA,45.826,21.69,190,NA,"Intraplate / Continental crust (>25 km)",NA,NA,NA,NA,"Intraplate"
210805,"Bakony-Balaton Highland","Hungary","European Volcanic Regions","Central European Volcanic Province","Cluster","Volcanic field",NA,NA,46.92,17.63,600,NA,"Intraplate / Continental crust (>25 km)",NA,NA,NA,NA,"Intraplate"
210806,"Little Hungarian Plain","Hungary","European Volcanic Regions","Central European Volcanic Province","Cluster","Volcanic field",NA,NA,47.192,17.2,433,NA,"Intraplate / Continental crust (>25 km)",NA,NA,NA,NA,"Intraplate"
210807,"Nograd-Southern Slovakia","Hungary-Slovakia","European Volcanic Regions","Central European Volcanic Province","Cluster","Volcanic field",NA,NA,48.159,19.79,720,NA,"Intraplate / Continental crust (>25 km)",NA,NA,NA,NA,"Intraplate"
210809,"Central Slovakia","Slovakia","European Volcanic Regions","Central European Volcanic Province","Cluster","Volcanic field",NA,NA,48.403,18.877,1009,NA,"Intraplate / Continental crust (>25 km)",NA,NA,NA,NA,"Intraplate"
210810,"Bruntal Volcanic Field","Czechia","European Volcanic Regions","Central European Volcanic Province","Cluster","Volcanic field",NA,NA,49.88,17.475,780,NA,"Intraplate / Continental crust (>25 km)",NA,NA,NA,NA,"Intraplate"
210811,"Cheb Basin","Czechia","European Volcanic Regions","Central European Volcanic Province","Cluster","Volcanic field",NA,NA,49.97,12.392,585,NA,"Intraplate / Continental crust (>25 km)",NA,NA,NA,NA,"Intraplate"
210812,"East Eifel Volcanic Field","Germany","European Volcanic Regions","Central European Volcanic Province","Cluster","Maar(s)",NA,NA,50.4,7.325,588,NA,"Rift zone / Continental crust (>25 km)",NA,NA,NA,NA,"Rift zone"
210813,"Rodderberg","Germany","European Volcanic Regions","Central European Volcanic Province","Minor","Pyroclastic cone",NA,NA,50.62,7.2,150,NA,"Rift zone / Continental crust (>25 km)",NA,NA,NA,NA,"Rift zone"
210814,"Cofrentes","Spain","European Volcanic Regions","Western European Volcanic Province","Cluster","Volcanic field",NA,NA,39.235,-1.064,514,NA,"Unknown",NA,NA,NA,NA,"Unknown"
210816,"Columbretes, Islas","Spain","European Volcanic Regions","Western European Volcanic Province","Cluster","Volcanic field",NA,NA,39.896,0.686,33,NA,"Unknown",NA,NA,NA,NA,"Unknown"
211003,"Vulsini","Italy","European Volcanic Regions","Italian Peninsula Volcanic Provinces","Caldera","Caldera",NA,NA,42.6,11.93,800,"Trachyte / Trachydacite","Subduction zone / Continental crust (>25 km)","Italy","Caldera","Historical","D7","Subduction zone"
211800,"Amiata","Italy","European Volcanic Regions","Italian Peninsula Volcanic Provinces","Minor","Lava dome(s)",NA,NA,42.9,11.63,1738,NA,"Subduction zone / Continental crust (>25 km)",NA,NA,NA,NA,"Subduction zone"
211801,"Radicofani","Italy","European Volcanic Regions","Italian Peninsula Volcanic Provinces","Minor","Volcanic remnant",NA,NA,42.899,11.769,891,NA,"Subduction zone / Continental crust (>25 km)",NA,NA,NA,NA,"Subduction zone"
211802,"Torre Alfina","Italy","European Volcanic Regions","Italian Peninsula Volcanic Provinces","Minor","Volcanic remnant",NA,NA,42.753,11.943,575,NA,"Subduction zone / Continental crust (>25 km)",NA,NA,NA,NA,"Subduction zone"
211803,"San Venanzo","Italy","European Volcanic Regions","Italian Peninsula Volcanic Provinces","Minor","Maar",NA,NA,42.862,12.266,466,NA,"Subduction zone / Continental crust (>25 km)",NA,NA,NA,NA,"Subduction zone"
211804,"Acquasparta","Italy","European Volcanic Regions","Italian Peninsula Volcanic Provinces","Cluster","Volcanic field",NA,NA,42.65,12.3,0,NA,"Subduction zone / Continental crust (>25 km)",NA,NA,NA,NA,"Subduction zone"
211805,"Polino","Italy","European Volcanic Regions","Italian Peninsula Volcanic Provinces","Minor","Explosion crater(s)",NA,NA,42.57,12.82,0,NA,"Subduction zone / Continental crust (>25 km)",NA,NA,NA,NA,"Subduction zone"
211806,"Cupaello","Italy","European Volcanic Regions","Italian Peninsula Volcanic Provinces","Minor","Pyroclastic cone",NA,NA,42.43,12.93,650,NA,"Subduction zone / Continental crust (>25 km)",NA,NA,NA,NA,"Subduction zone"
211807,"Oricola-Carsoli","Italy","European Volcanic Regions","Italian Peninsula Volcanic Provinces","Cluster","Pyroclastic cone(s)",NA,NA,42.15,13.08,0,NA,"Subduction zone / Continental crust (>25 km)",NA,NA,NA,NA,"Subduction zone"
211808,"Vico-Cimino Complex","Italy","European Volcanic Regions","Italian Peninsula Volcanic Provinces","Composite","Stratovolcano(es)",NA,NA,42.367,12.188,1053,NA,"Subduction zone / Continental crust (>25 km)",NA,NA,NA,NA,"Subduction zone"
211809,"Sabatini Complex","Italy","European Volcanic Regions","Italian Peninsula Volcanic Provinces","Composite","Stratovolcano(es)",NA,NA,42.17,12.22,612,NA,"Unknown",NA,NA,NA,NA,"Unknown"
211810,"Ernici, Monti","Italy","European Volcanic Regions","Italian Peninsula Volcanic Provinces","Cluster","Volcanic field",NA,NA,41.58,13.33,0,NA,"Subduction zone / Continental crust (>25 km)",NA,NA,NA,NA,"Subduction zone"
211811,"Roccamonfina","Italy","European Volcanic Regions","Italian Peninsula Volcanic Provinces","Composite","Stratovolcano",NA,NA,41.3,13.93,1066,NA,"Subduction zone / Continental crust (>25 km)",NA,NA,NA,NA,"Subduction zone"
211812,"Vulture, Monte","Italy","European Volcanic Regions","Italian Peninsula Volcanic Provinces","Composite","Stratovolcano",NA,NA,40.92,15.67,1330,NA,"Subduction zone / Continental crust (>25 km)",NA,NA,NA,NA,"Subduction zone"
211813,"Ventotene","Italy","European Volcanic Regions","Italian Peninsula Volcanic Provinces","Composite","Stratovolcano(es)",NA,NA,40.8,13.42,139,NA,"Subduction zone / Continental crust (>25 km)",NA,NA,NA,NA,"Subduction zone"
211814,"Pontine Islands","Italy","European Volcanic Regions","Italian Peninsula Volcanic Provinces","Minor","Lava dome(s)",NA,NA,40.9,12.95,283,NA,"Subduction zone / Continental crust (>25 km)",NA,NA,NA,NA,"Subduction zone"
211815,"Logudoro","Italy","European Volcanic Regions","Western European Volcanic Province","Cluster","Volcanic field",NA,NA,40.58,8.67,0,NA,"Unknown",NA,NA,NA,NA,"Unknown"
211816,"Salina","Italy","European Volcanic Regions","Aeolian Volcanic Arc","Composite","Stratovolcano(es)",NA,NA,38.58,14.85,962,NA,"Subduction zone / Continental crust (>25 km)",NA,NA,NA,NA,"Subduction zone"
211817,"Filicudi","Italy","European Volcanic Regions","Aeolian Volcanic Arc","Composite","Stratovolcano(es)",NA,NA,38.58,14.55,773,NA,"Subduction zone / Continental crust (>25 km)",NA,NA,NA,NA,"Subduction zone"
211818,"Alicudi","Italy","European Volcanic Regions","Aeolian Volcanic Arc","Composite","Stratovolcano",NA,NA,38.55,14.33,675,NA,"Subduction zone / Continental crust (>25 km)",NA,NA,NA,NA,"Subduction zone"
211819,"Ustica","Italy","European Volcanic Regions","Sicily Volcanic Province","Composite","Stratovolcano(es)",NA,NA,38.72,13.18,248,NA,"Subduction zone / Continental crust (>25 km)",NA,NA,NA,NA,"Subduction zone"
211820,"Iblei","Italy","European Volcanic Regions","Sicily Volcanic Province","Shield","Shield?",NA,NA,37.117,14.821,825,NA,"Subduction zone / Continental crust (>25 km)",NA,NA,NA,NA,"Subduction zone"
211821,"Linosa","Italy","European Volcanic Regions","Sicily Volcanic Province","Minor","Pyroclastic cone(s)",NA,NA,35.87,12.87,195,NA,"Rift zone / Continental crust (>25 km)",NA,NA,NA,NA,"Rift zone"
211822,"Gaeta Bay Volcanic Field","Italy","European Volcanic Regions","Italian Peninsula Volcanic Provinces","Cluster","Volcanic field",NA,NA,40.978,13.663,0,NA,"Subduction zone / Continental crust (>25 km)",NA,NA,NA,NA,"Subduction zone"
212051,"Yali","Greece","European Volcanic Regions","Hellenic Volcanic Arc","Composite","Lava dome(s)",NA,NA,36.6666,27.1224,180,"Rhyolite","Subduction zone / Continental crust (>25 km)","Greece","Lava dome","Holocene","U","Subduction zone"
212800,"Psathoura","Greece","European Volcanic Regions","Western Anatolian Volcanic Province","Minor","Lava dome",NA,NA,39.5,24.18,10,NA,"Subduction zone / Continental crust (>25 km)",NA,NA,NA,NA,"Subduction zone"
212801,"Volos-Atalanti","Greece","European Volcanic Regions","Western Anatolian Volcanic Province","Cluster","Volcanic field",NA,NA,39.033,22.8,900,NA,"Subduction zone / Continental crust (>25 km)",NA,NA,NA,NA,"Subduction zone"
212802,"Aegina","Greece","European Volcanic Regions","Hellenic Volcanic Arc","Cluster","Volcanic field",NA,NA,37.75,23.5,530,NA,"Subduction zone / Continental crust (>25 km)",NA,NA,NA,NA,"Subduction zone"
212803,"Poros","Greece","European Volcanic Regions","Hellenic Volcanic Arc","Cluster","Fissure vent",NA,NA,37.48,23.43,80,NA,"Subduction zone / Continental crust (>25 km)",NA,NA,NA,NA,"Subduction zone"
212804,"Antiparos","Greece","European Volcanic Regions","Hellenic Volcanic Arc","Minor","Pyroclastic cone(s)",NA,NA,36.995,25.046,282,NA,"Subduction zone / Continental crust (>25 km)",NA,NA,NA,NA,"Subduction zone"
212805,"Kos","Greece","European Volcanic Regions","Hellenic Volcanic Arc","Caldera","Caldera(s)",NA,NA,36.852,27.251,430,NA,"Subduction zone / Continental crust (>25 km)",NA,NA,NA,NA,"Subduction zone"
213001,"Karapinar Monogenetic Field","Turkiye","European Volcanic Regions","Western Anatolian Volcanic Province","Cluster","Volcanic field",NA,NA,37.6407,33.5901,1302,"Trachyandesite / Basaltic Trachyandesite","Intraplate / Continental crust (>25 km)",NA,NA,NA,NA,"Intraplate"
213003,"Derinkuyu Volcanic Complex","Turkiye","European Volcanic Regions","Western Anatolian Volcanic Province","Cluster","Lava dome",NA,NA,38.35,34.5567,2143,"Rhyolite","Intraplate / Continental crust (>25 km)",NA,NA,NA,NA,"Intraplate"
213004,"Nevsehir-Acigol Volcanic Complex","Turkiye","European Volcanic Regions","Western Anatolian Volcanic Province","Cluster","Complex",NA,NA,38.537,34.621,1683,"Rhyolite","Intraplate / Continental crust (>25 km)",NA,NA,NA,NA,"Intraplate"
213005,"Egrikuyu Monogenetic Field","Turkiye","European Volcanic Regions","Western Anatolian Volcanic Province","Cluster","Volcanic field",NA,NA,37.892,34.1113,1100,NA,"Intraplate / Continental crust (>25 km)",NA,NA,NA,NA,"Intraplate"
213021,"Suphan Dagi","Turkiye","Arabia-Central Asia Volcanic Regions","Central Anatolian Volcanic Province","Composite","Stratovolcano",NA,NA,38.931,42.833,4033,"Trachyandesite / Basaltic Trachyandesite","Intraplate / Continental crust (>25 km)","Turkey","Stratovolcano","Holocene","U","Intraplate"
213022,"Girekol","Turkiye","Arabia-Central Asia Volcanic Regions","Central Anatolian Volcanic Province","Shield","Shield",NA,NA,39.104,43.426,2145,"Andesite / Basaltic Andesite","Intraplate / Continental crust (>25 km)","Turkey","Unknown","Holocene","U","Intraplate"
213023,"Etrusk","Turkiye","Arabia-Central Asia Volcanic Regions","Central Anatolian Volcanic Province","Composite","Stratovolcano",NA,NA,39.032,43.66,3100,NA,NA,NA,NA,NA,NA,NA
213060,"Karasu Rift","Turkiye","Arabia-Central Asia Volcanic Regions","Northern Arabia Volcanic Province","Cluster","Volcanic field",NA,NA,36.767,36.6,486,NA,"Rift zone / Intermediate crust (15-25 km)",NA,NA,NA,NA,"Rift zone"
213061,"Ceyhan-Osmaniye","Turkiye","European Volcanic Regions","Western Anatolian Volcanic Province","Cluster","Volcanic field",NA,NA,37,36.083,424,NA,"Unknown",NA,NA,NA,NA,"Unknown"
213801,"Golcuk","Turkiye","European Volcanic Regions","Western Anatolian Volcanic Province","Caldera","Caldera",NA,NA,37.72,30.492,0,NA,"Intraplate / Continental crust (>25 km)",NA,NA,NA,NA,"Intraplate"
213803,"Arpacay","Turkiye","Arabia-Central Asia Volcanic Regions","Caucasus Volcanic Province","Cluster","Volcanic field",NA,NA,41,43.467,0,NA,"Intraplate / Continental crust (>25 km)",NA,NA,NA,NA,"Intraplate"
213804,"Kisir Dagi","Turkiye","Arabia-Central Asia Volcanic Regions","Caucasus Volcanic Province","Composite","Unknown",NA,NA,40.97,43.07,3192,NA,"Intraplate / Continental crust (>25 km)",NA,NA,NA,NA,"Intraplate"
214040,"Keli Highland","Georgia","Arabia-Central Asia Volcanic Regions","Caucasus Volcanic Province","Cluster","Pyroclastic cone(s)",NA,NA,42.45,44.25,3750,"Andesite / Basaltic Andesite","Intraplate / Continental crust (>25 km)",NA,NA,NA,NA,"Intraplate"
214802,"Akhuryan Valley","Armenia","Arabia-Central Asia Volcanic Regions","Caucasus Volcanic Province","Cluster","Volcanic field",NA,NA,41.067,43.75,2251,NA,"Intraplate / Continental crust (>25 km)",NA,NA,NA,NA,"Intraplate"
214803,"Shamiram Plateau","Armenia","Arabia-Central Asia Volcanic Regions","Caucasus Volcanic Province","Cluster","Volcanic field",NA,NA,40.2,44.15,3300,NA,"Intraplate / Continental crust (>25 km)",NA,NA,NA,NA,"Intraplate"
214805,"Southeast Syunik Upland","Armenia-Azerbaijan","Arabia-Central Asia Volcanic Regions","Caucasus Volcanic Province","Cluster","Volcanic field",NA,NA,39.617,46.1,2400,NA,"Intraplate / Continental crust (>25 km)",NA,NA,NA,NA,"Intraplate"
214808,"Dzau","Georgia","Arabia-Central Asia Volcanic Regions","Caucasus Volcanic Province","Cluster","Fissure vent",NA,NA,42.404,44.004,1904,NA,NA,NA,NA,NA,NA,NA
221109,"Mabda","Eritrea","Eastern Africa Volcanic Regions","Afar Rift Volcanic Province","Minor","Lava dome",NA,NA,13.508,41.779,1554,"Rhyolite","Rift zone / Intermediate crust (15-25 km)",NA,NA,NA,NA,"Rift zone"
221121,"Borawli","Ethiopia","Eastern Africa Volcanic Regions","Afar Rift Volcanic Province","Minor","Lava dome(s)",NA,NA,11.63,41.45,875,"Rhyolite","Rift zone / Intermediate crust (15-25 km)","Africa-NE","Stratovolcano","Holocene","U","Rift zone"
221224,"Boku","Ethiopia","Eastern Africa Volcanic Regions","Main Ethiopian Rift Volcanic Province","Caldera","Caldera",NA,NA,8.55,39.275,1625,NA,"Rift zone / Continental crust (>25 km)",NA,NA,NA,NA,"Rift zone"
221292,"Tepi","Ethiopia","Eastern Africa Volcanic Regions","Western Ethiopia Plateau Volcanic Province","Shield","Shield",NA,NA,7.424,35.43,2728,"Basalt / Picro-Basalt","Intraplate / Continental crust (>25 km)","Africa-NE","Shield volcano","Holocene","U","Intraplate"
221293,"Hobitcha Caldera","Ethiopia","Eastern Africa Volcanic Regions","Main Ethiopian Rift Volcanic Province","Caldera","Caldera",NA,NA,6.864,37.847,2156,"Basalt / Picro-Basalt","Intraplate / Continental crust (>25 km)",NA,NA,NA,NA,"Intraplate"
221300,"Chericha","Ethiopia","Eastern Africa Volcanic Regions","Main Ethiopian Rift Volcanic Province","Composite","Stratovolcano",NA,NA,6.712,38.085,1636,"Rhyolite","Rift zone / Continental crust (>25 km)",NA,NA,NA,NA,"Rift zone"
221310,"Tosa Sucha","Ethiopia","Eastern Africa Volcanic Regions","Main Ethiopian Rift Volcanic Province","Cluster","Pyroclastic cone(s)",NA,NA,5.967,37.629,1650,"Basalt / Picro-Basalt","Rift zone / Continental crust (>25 km)","Africa-NE","Cinder cone","Holocene","U","Rift zone"
221335,"Dilo-Dukana Volcanic Field","Ethiopia-Kenya","Eastern Africa Volcanic Regions","Kenyan Rift Volcanic Province","Cluster","Volcanic field",NA,NA,4.063,37.488,1111,"Basalt / Picro-Basalt","Rift zone / Intermediate crust (15-25 km)",NA,NA,NA,NA,"Rift zone"
221800,"Oyma","Ethiopia","Eastern Africa Volcanic Regions","Afar Rift Volcanic Province","Composite","Stratovolcano",NA,NA,12.88,41.62,1041,NA,"Rift zone / Intermediate crust (15-25 km)",NA,NA,NA,NA,"Rift zone"
221801,"Didolli","Ethiopia","Eastern Africa Volcanic Regions","Afar Rift Volcanic Province","Caldera","Caldera",NA,NA,12.7,41.58,1191,NA,"Rift zone / Intermediate crust (15-25 km)",NA,NA,NA,NA,"Rift zone"
221802,"Katahelu","Ethiopia","Eastern Africa Volcanic Regions","Afar Rift Volcanic Province","Minor","Cone",NA,NA,12.551,41.503,1126,NA,"Rift zone / Intermediate crust (15-25 km)",NA,NA,NA,NA,"Rift zone"
221803,"Ali Mela","Ethiopia","Eastern Africa Volcanic Regions","Afar Rift Volcanic Province","Minor","Cone",NA,NA,12.718,41.396,1037,NA,"Rift zone / Intermediate crust (15-25 km)",NA,NA,NA,NA,"Rift zone"
221804,"Dawa Ale-Quarry","Ethiopia","Eastern Africa Volcanic Regions","Afar Rift Volcanic Province","Composite","Stratovolcano",NA,NA,12.75,41,0,NA,"Rift zone / Intermediate crust (15-25 km)",NA,NA,NA,NA,"Rift zone"
221805,"Badi","Ethiopia","Eastern Africa Volcanic Regions","Afar Rift Volcanic Province","Composite","Stratovolcano",NA,NA,12.387,40.366,1321,NA,"Rift zone / Intermediate crust (15-25 km)",NA,NA,NA,NA,"Rift zone"
221806,"Gad Elu","Ethiopia","Eastern Africa Volcanic Regions","Afar Rift Volcanic Province","Composite","Stratovolcano",NA,NA,12.408,41.06,1548,NA,"Rift zone / Intermediate crust (15-25 km)",NA,NA,NA,NA,"Rift zone"
221807,"Ela","Ethiopia","Eastern Africa Volcanic Regions","Afar Rift Volcanic Province","Composite","Stratovolcano",NA,NA,12.519,41.19,934,NA,"Rift zone / Intermediate crust (15-25 km)",NA,NA,NA,NA,"Rift zone"
221808,"Asgura","Ethiopia","Eastern Africa Volcanic Regions","Afar Rift Volcanic Province","Composite","Stratovolcano",NA,NA,11.75,40.9,0,NA,"Rift zone / Intermediate crust (15-25 km)",NA,NA,NA,NA,"Rift zone"
221809,"Finini","Ethiopia","Eastern Africa Volcanic Regions","Afar Rift Volcanic Province","Composite","Stratovolcano",NA,NA,11.98,41.35,0,NA,"Rift zone / Intermediate crust (15-25 km)",NA,NA,NA,NA,"Rift zone"
221810,"Dalaha'ale","Ethiopia","Eastern Africa Volcanic Regions","Afar Rift Volcanic Province","Composite","Stratovolcano",NA,NA,12.274,42.044,881,NA,"Rift zone / Intermediate crust (15-25 km)",NA,NA,NA,NA,"Rift zone"
221811,"Data Gabalti","Ethiopia","Eastern Africa Volcanic Regions","Afar Rift Volcanic Province","Composite","Stratovolcano",NA,NA,12.197,42.135,583,NA,"Rift zone / Intermediate crust (15-25 km)",NA,NA,NA,NA,"Rift zone"
221812,"Egersuwa","Ethiopia","Eastern Africa Volcanic Regions","Afar Rift Volcanic Province","Minor","Lava dome(s)",NA,NA,12.45,42.166,582,NA,"Rift zone / Intermediate crust (15-25 km)",NA,NA,NA,NA,"Rift zone"
221816,"Zikwala","Ethiopia","Eastern Africa Volcanic Regions","Main Ethiopian Rift Volcanic Province","Composite","Stratovolcano",NA,NA,8.53,38.85,2989,NA,"Intraplate / Continental crust (>25 km)",NA,NA,NA,NA,"Intraplate"
221817,"Ch'Ilalo","Ethiopia","Eastern Africa Volcanic Regions","Main Ethiopian Rift Volcanic Province","Composite","Stratovolcano",NA,NA,7.92,39.27,4005,NA,"Intraplate / Continental crust (>25 km)",NA,NA,NA,NA,"Intraplate"
221818,"Gademota Caldera","Ethiopia","Eastern Africa Volcanic Regions","Main Ethiopian Rift Volcanic Province","Caldera","Caldera",NA,NA,7.88,38.6,2090,NA,"Intraplate / Continental crust (>25 km)",NA,NA,NA,NA,"Intraplate"
221819,"Duguna","Ethiopia","Eastern Africa Volcanic Regions","Main Ethiopian Rift Volcanic Province","Composite","Stratovolcano",NA,NA,6.95,38.07,2205,NA,"Intraplate / Continental crust (>25 km)",NA,NA,NA,NA,"Intraplate"
221822,"Chew Bahir","Ethiopia","Eastern Africa Volcanic Regions","Kenyan Rift Volcanic Province","Minor","Pyroclastic cone(s)",NA,NA,4.47,36.87,600,NA,"Rift zone / Intermediate crust (15-25 km)",NA,NA,NA,NA,"Rift zone"
221824,"Undurer","Ethiopia","Eastern Africa Volcanic Regions","Afar Rift Volcanic Province","Composite","Stratovolcano",NA,NA,12.171,41.396,1242,NA,"Rift zone / Intermediate crust (15-25 km)",NA,NA,NA,NA,"Rift zone"
221825,"Babba'Olou","Djibouti","Eastern Africa Volcanic Regions","Afar Rift Volcanic Province","Composite","Stratovolcano",NA,NA,11.55,42.133,1301,NA,"Rift zone / Intermediate crust (15-25 km)",NA,NA,NA,NA,"Rift zone"
222150,"Kilimanjaro","Tanzania","Eastern Africa Volcanic Regions","Kenyan Rift Volcanic Province","Composite","Stratovolcano",NA,NA,-3.07,37.35,5881,"Phonolite","Rift zone / Continental crust (>25 km)","Africa-E","Stratovolcano","Holocene","U","Rift zone"
222161,"Igwisi Hills","Tanzania","Eastern Africa Volcanic Regions","Tanzania Craton Volcanic Province","Minor","Pyroclastic cone(s)",NA,NA,-4.889,31.933,1146,"Foidite","Intraplate / Continental crust (>25 km)","Africa-E","Tuff cone","Holocene","U","Intraplate"
222162,"Usangu Scarp Basalt","Tanzania","Eastern Africa Volcanic Regions","Rukwa Rift Volcanic Province","Minor","Pyroclastic cone",NA,NA,-8.624,33.583,1690,"Basalt / Picro-Basalt","Rift zone / Continental crust (>25 km)",NA,NA,NA,NA,"Rift zone"
222163,"SW Usangu Basin","Tanzania","Eastern Africa Volcanic Regions","Rukwa Rift Volcanic Province","Cluster","Lava dome(s)",NA,NA,-8.75,33.8,2179,"Phonolite","Rift zone / Continental crust (>25 km)","Africa-E","Lava dome","Holocene","U","Rift zone"
222165,"Izumbwe-Mpoli","Tanzania","Eastern Africa Volcanic Regions","Rukwa Rift Volcanic Province","Minor","Pyroclastic cone(s)",NA,NA,-8.976,33.38,1568,"Foidite","Rift zone / Continental crust (>25 km)","Africa-E","Pyroclastic cone","Holocene","U","Rift zone"
222800,"Kulal","Kenya","Eastern Africa Volcanic Regions","Kenyan Rift Volcanic Province","Shield","Shield",NA,NA,2.75,36.93,2285,NA,"Rift zone / Continental crust (>25 km)",NA,NA,NA,NA,"Rift zone"
222801,"Asie","Kenya","Eastern Africa Volcanic Regions","Kenyan Rift Volcanic Province","Shield","Shield",NA,NA,2.964,37.104,1056,NA,"Rift zone / Continental crust (>25 km)",NA,NA,NA,NA,"Rift zone"
222802,"Huri Hills","Kenya","Eastern Africa Volcanic Regions","Kenyan Rift Volcanic Province","Shield","Shield",NA,NA,3.5,37.75,1300,NA,"Rift zone / Continental crust (>25 km)",NA,NA,NA,NA,"Rift zone"
222803,"Bogoria","Kenya","Eastern Africa Volcanic Regions","Kenyan Rift Volcanic Province","Shield","Shield",NA,NA,0.25,36.08,1100,NA,"Rift zone / Continental crust (>25 km)",NA,NA,NA,NA,"Rift zone"
222804,"Kilombe Caldera","Kenya","Eastern Africa Volcanic Regions","Kenyan Rift Volcanic Province","Caldera","Caldera",NA,NA,-0.08,35.83,2550,NA,"Rift zone / Continental crust (>25 km)",NA,NA,NA,NA,"Rift zone"
222805,"Nyokie, Ol Doinyo","Kenya","Eastern Africa Volcanic Regions","Kenyan Rift Volcanic Province","Minor","Tuff cone",NA,NA,-1.8,36.38,1169,NA,"Rift zone / Continental crust (>25 km)",NA,NA,NA,NA,"Rift zone"
222806,"Gelai","Tanzania","Eastern Africa Volcanic Regions","Kenyan Rift Volcanic Province","Shield","Shield",NA,NA,-2.6,36.1,2942,NA,"Unknown",NA,NA,NA,NA,"Unknown"
222807,"Ketumbeine","Tanzania","Eastern Africa Volcanic Regions","Kenyan Rift Volcanic Province","Shield","Shield",NA,NA,-2.88,36.22,2942,NA,"Rift zone / Continental crust (>25 km)",NA,NA,NA,NA,"Rift zone"
222808,"Kerimasi","Tanzania","Eastern Africa Volcanic Regions","Kenyan Rift Volcanic Province","Composite","Stratovolcano",NA,NA,-2.87,35.95,2600,NA,"Unknown",NA,NA,NA,NA,"Unknown"
222809,"Loolmalasin","Tanzania","Eastern Africa Volcanic Regions","Kenyan Rift Volcanic Province","Composite","Unknown",NA,NA,-3.052,35.817,3627,NA,"Rift zone / Continental crust (>25 km)",NA,NA,NA,NA,"Rift zone"
222810,"Sadiman","Tanzania","Eastern Africa Volcanic Regions","Kenyan Rift Volcanic Province","Composite","Stratovolcano",NA,NA,-3.18,35.42,2865,NA,"Unknown",NA,NA,NA,NA,"Unknown"
222811,"Ngorongoro","Tanzania","Eastern Africa Volcanic Regions","Kenyan Rift Volcanic Province","Caldera","Caldera",NA,NA,-3.17,35.57,2376,NA,"Unknown",NA,NA,NA,NA,"Unknown"
222812,"Sultan Hamud-Simba","Kenya","Eastern Africa Volcanic Regions","Kenyan Rift Volcanic Province","Cluster","Volcanic field",NA,NA,-2.12,37.4,0,NA,"Rift zone / Continental crust (>25 km)",NA,NA,NA,NA,"Rift zone"
222813,"Burko","Tanzania","Eastern Africa Volcanic Regions","Kenyan Rift Volcanic Province","Composite","Stratovolcano",NA,NA,-3.3,36.22,2136,NA,"Unknown",NA,NA,NA,NA,"Unknown"
222814,"Kwaraha","Tanzania","Eastern Africa Volcanic Regions","Kenyan Rift Volcanic Province","Composite","Stratovolcano",NA,NA,-4.23,35.82,2415,NA,"Rift zone / Continental crust (>25 km)",NA,NA,NA,NA,"Rift zone"
222828,"Porr","Kenya","Eastern Africa Volcanic Regions","Kenyan Rift Volcanic Province","Minor","Pyroclastic cone",NA,NA,2.9,36.55,0,NA,"Rift zone / Continental crust (>25 km)",NA,NA,NA,NA,"Rift zone"
222829,"Embagai","Tanzania","Eastern Africa Volcanic Regions","Kenyan Rift Volcanic Province","Caldera","Caldera",NA,NA,-2.92,35.83,3220,NA,"Unknown",NA,NA,NA,NA,"Unknown"
222830,"Olmoti","Tanzania","Eastern Africa Volcanic Regions","Kenyan Rift Volcanic Province","Caldera","Caldera",NA,NA,-3,35.65,3099,NA,"Unknown",NA,NA,NA,NA,"Unknown"
222831,"Hanang","Tanzania","Eastern Africa Volcanic Regions","Kenyan Rift Volcanic Province","Composite","Stratovolcano",NA,NA,-4.43,35.4,3418,NA,"Unknown",NA,NA,NA,NA,"Unknown"
223003,"Katwe-Kikorongo Volcanic Field","Uganda","Eastern Africa Volcanic Regions","Albertine Rift Volcanic Province","Cluster","Volcanic field",NA,NA,-0.08,29.92,1067,"Foidite","Rift zone / Continental crust (>25 km)",NA,NA,NA,NA,"Rift zone"
223004,"Bunyaruguru Volcanic Field","Uganda","Eastern Africa Volcanic Regions","Albertine Rift Volcanic Province","Cluster","Volcanic field",NA,NA,-0.2044,30.1422,1554,"Foidite","Rift zone / Continental crust (>25 km)",NA,NA,NA,NA,"Rift zone"
223005,"Katunga","Uganda","Eastern Africa Volcanic Regions","Albertine Rift Volcanic Province","Minor","Volcanic field",NA,NA,-0.471,30.191,1707,"Foidite","Rift zone / Continental crust (>25 km)","Africa-C","Tuff cone","Holocene","U","Rift zone"
