"Volcano Number","Volcano Name","Country","Volcanic Region Group","Volcanic Region","Volcano Landform","Primary Volcano Type","Activity Evidence","Last Known Eruption","Latitude","Longitude","Elevation (m)","Dominant Rock Type","Tectonic Setting"
"390830","Argo Point","Antarctica","Antarctic-Scotia Volcanic Regions","Antarctic Peninsula Volcanic Province","Minor","Pyroclastic cone",NA,NA,"-66.25","-60.92","360",NA,"Intraplate / Continental crust (>25 km)"
"390844","Franklin Island","Antarctica","Antarctic-Scotia Volcanic Regions","McMurdo Volcanic Province","Shield","Shield",NA,NA,"-76.17","168.38","247",NA,"Intraplate / Continental crust (>25 km)"
"390845","Beaufort Island","Antarctica","Antarctic-Scotia Volcanic Regions","McMurdo Volcanic Province","Composite","Stratovolcano",NA,NA,"-76.98","167.02","740",NA,"Intraplate / Continental crust (>25 km)"
"422820","Lenderut","Kenya","Eastern Africa Volcanic Regions","Kenyan Rift Volcanic Province","Caldera","Caldera",NA,NA,"-2.0950000000000002","36.284999999999997","1225",NA,"Rift zone / Continental crust (>25 km)"
"422821","Shombole","Kenya","Eastern Africa Volcanic Regions","Kenyan Rift Volcanic Province","Minor","Cone",NA,NA,"-2.1309999999999998","36.1","1527",NA,"Rift zone / Continental crust (>25 km)"
"422826","Tukuyu","Tanzania","Eastern Africa Volcanic Regions","Rukwa Rift Volcanic Province","Shield","Shield",NA,NA,"-9.26","33.648000000000003","1541",NA,"Unknown"
"422827","Katete","Tanzania","Eastern Africa Volcanic Regions","Rukwa Rift Volcanic Province","Composite","Stratovolcano",NA,NA,"-9.1120000000000001","33.746000000000002","2481",NA,"Rift zone / Continental crust (>25 km)"
"430815","Qiranah, Jabal al","Jordan","Arabia-Central Asia Volcanic Regions","Northern Arabia Volcanic Province","Cluster","Volcanic field",NA,NA,"30.73","35.75","0",NA,"Unknown"
"461838","Raja-Sabanda","Indonesia","Sunda-Banda Volcanic Regions","Sunda Volcanic Arc","Unknown","Unknown",NA,NA,"-2.2280000000000002","101.43","2527",NA,"Unknown"
"461839","Hulunilo","Indonesia","Sunda-Banda Volcanic Regions","Sunda Volcanic Arc","Composite","Stratovolcano",NA,NA,"-2.4180000000000001","101.776","2469",NA,"Unknown"
"461840","Tungkat","Indonesia","Sunda-Banda Volcanic Regions","Sunda Volcanic Arc","Unknown","Unknown",NA,NA,"-2.48","102.026","1576",NA,"Unknown"
