"Volcano Number","Volcano Name","Eruption Number","Eruption Category","Area of Activity","VEI","VEI Modifier","Start Year Modifier","Start Year","Start Year Uncertainty","Start Month","Start Day Modifier","Start Day","Start Day Uncertainty","Evidence Method (dating)","End Year Modifier","End Year","End Year Uncertainty","End Month","End Day Modifier","End Day","End Day Uncertainty"
"290360","Chikurachki","18858","Confirmed Eruption","NULL","2","NULL","NULL","2007","NULL","3","NULL","4","NULL","Observations: Reported","NULL","2007","NULL","4","NULL","18","NULL"
"311310","Makushin","19493","Confirmed Eruption","NULL","3","NULL","NULL","1802","NULL","0","NULL","0","NULL","Observations: Reported","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"311310","Makushin","19543","Confirmed Eruption","NULL","NULL","NULL","NULL","1865","NULL","0","NULL","0","NULL","Observations: Reported","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"320060","Edziza","20429","Confirmed Eruption","NNE flank (Williams Cone)","NULL","NULL","NULL","630","150","0","NULL","0","NULL","Isotopic: 14C (uncalibrated)","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"341021","Socorro","10370","Confirmed Eruption","Lower SW flank (near Bahia Braithwaite)","NULL","NULL","NULL","-3090","500","0","NULL","0","NULL","Isotopic: 14C (uncalibrated)","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"341110","San Martin","10584","Confirmed Eruption","South flank (Cerro Mono Blanco)","NULL","NULL","NULL","-1320","300","0","NULL","0","NULL","Isotopic: 14C (uncalibrated)","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"341110","San Martin","10587","Confirmed Eruption","South flank (Cerro Puntiagudo)","NULL","NULL","NULL","120","200","0","NULL","0","NULL","Isotopic: 14C (uncalibrated)","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"342060","Atitlan","10634","Confirmed Eruption","NULL","3","^","NULL","1469","NULL","0","NULL","0","NULL","Observations: Reported","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"351060","Purace","22552","Confirmed Eruption","NULL","1","NULL","NULL","2023","NULL","11","NULL","16","NULL","Observations: Reported","NULL","2023","NULL","11","NULL","16","NULL"
"351060","Purace","11319","Confirmed Eruption","NULL","2","NULL","NULL","1840","NULL","0","NULL","0","NULL","Observations: Reported","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"351060","Purace","11320","Confirmed Eruption","NULL","3","?","NULL","1847","NULL","10","NULL","27","NULL","Observations: Reported","NULL","1852","NULL","0","NULL","0","NULL"
"351060","Purace","11337","Confirmed Eruption","NULL","2","NULL","<","1956","NULL","7","NULL","2","182","Observations: Reported","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"357153","Antillanca Volcanic Complex","12191","Confirmed Eruption","Casablanca (Raihuén crater)","5","NULL","NULL","-230","200","0","NULL","0","NULL","Isotopic: 14C (calibrated)","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"358020","Calbuco","12255","Confirmed Eruption","NULL","2","?","NULL","1907","NULL","4","NULL","22","NULL","Observations: Reported","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"358020","Calbuco","12256","Confirmed Eruption","NULL","2","NULL","NULL","1909","NULL","3","NULL","0","NULL","Observations: Reported","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"358020","Calbuco","20862","Confirmed Eruption","NULL","NULL","NULL","NULL","-7990","290","NULL","NULL","NULL","NULL","Correlation: Tephrochronology","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"371050","Hengill","12523","Confirmed Eruption","Eldborgir","NULL","NULL","?","-5000","NULL","0","NULL","0","NULL","Correlation: Tephrochronology","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"371050","Hengill","12524","Confirmed Eruption","Hagavikurhraun","2","NULL","?","-3750","NULL","0","NULL","0","NULL","Isotopic: 14C (calibrated)","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"211020","Vesuvius","13310","Confirmed Eruption","NULL","4","?","NULL","512","NULL","7","NULL","8","NULL","Observations: Reported","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"211020","Vesuvius","13341","Confirmed Eruption","NULL","3","NULL","NULL","1724","NULL","9","NULL","4","NULL","Observations: Reported","NULL","1730","NULL","4","?","1","NULL"
"211020","Vesuvius","10051","Confirmed Eruption","NULL","3","?","NULL","172","NULL","0","NULL","0","NULL","Observations: Reported","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"211020","Vesuvius","10052","Confirmed Eruption","NULL","4","P","NULL","203","NULL","0","NULL","0","NULL","Observations: Reported","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"243100","Fonualei","14778","Confirmed Eruption","NULL","2","NULL","NULL","1791","NULL","0","NULL","0","NULL","Observations: Reported","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"243100","Fonualei","14782","Confirmed Eruption","North-central part of the island","2","NULL","NULL","1951","NULL","8","NULL","21","NULL","Observations: Reported","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"252080","Witori","15013","Confirmed Eruption","NULL","NULL","NULL","NULL","-640","300","NULL","NULL","NULL","NULL","Isotopic: 14C (uncalibrated)","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"263200","Dieng Volcanic Complex","15782","Confirmed Eruption","NULL","2","NULL","NULL","1953","NULL","3","NULL","24","NULL","Observations: Reported","NULL","1953","NULL","3","NULL","25","NULL"
"263300","Semeru","15982","Confirmed Eruption","NULL","2","NULL","NULL","1867","NULL","4","NULL","15","5","Observations: Reported","NULL","1867","NULL","5","NULL","0","NULL"
"263300","Semeru","15999","Confirmed Eruption","NULL","2","NULL","NULL","1896","NULL","5","NULL","0","NULL","Observations: Reported","NULL","1896","NULL","6","NULL","0","NULL"
"263300","Semeru","16000","Confirmed Eruption","NULL","2","NULL","NULL","1897","NULL","1","NULL","1","NULL","Observations: Reported","NULL","1897","NULL","1","NULL","3","NULL"
"263300","Semeru","13459","Confirmed Eruption","Jonggring Seloko","2","NULL","NULL","1946","NULL","2","NULL","0","NULL","Observations: Reported","NULL","1946","NULL","5","NULL","0","NULL"
"263300","Semeru","13578","Confirmed Eruption","NULL","2","NULL","NULL","1908","NULL","1","NULL","0","NULL","Observations: Reported","NULL","1908","NULL","12","NULL","0","NULL"
"332040","Hualalai","10249","Confirmed Eruption","SSE rift zone (3 km NE of Waha Pele)","1","NULL","NULL","1050","100","0","NULL","0","NULL","Isotopic: 14C (uncalibrated)","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"332040","Hualalai","10250","Confirmed Eruption","NW rift zone (Puu Alauawa, Nahaha)","0","NULL","?","1150","NULL","0","NULL","0","NULL","Correlation: Tephrochronology","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"341060","Michoacan-Guanajuato","10485","Confirmed Eruption","Jorullo","4","NULL","NULL","1759","NULL","9","NULL","29","NULL","Observations: Reported","NULL","1774","NULL","0","NULL","0","NULL"
"341060","Michoacan-Guanajuato","10486","Confirmed Eruption","Parícutin","4","NULL","NULL","1943","NULL","2","NULL","20","NULL","Observations: Reported","NULL","1952","NULL","2","NULL","25","NULL"
"345033","Arenal","11121","Confirmed Eruption","NULL","4","NULL","NULL","-170","200","0","NULL","0","NULL","Isotopic: 14C (calibrated)","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"345033","Arenal","11122","Confirmed Eruption","NULL","4","NULL","?","400","NULL","0","NULL","0","NULL","Correlation: Anthropology","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"352080","Tungurahua","11621","Confirmed Eruption","NULL","NULL","NULL","?","800","NULL","0","NULL","0","NULL","Isotopic: 14C (uncalibrated)","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"352080","Tungurahua","11622","Confirmed Eruption","NULL","NULL","NULL","NULL","1030","75","0","NULL","0","NULL","Isotopic: 14C (uncalibrated)","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"355020","Guallatiri","11821","Confirmed Eruption","NULL","2","NULL","NULL","1960","NULL","12","NULL","2","NULL","Observations: Reported","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"357110","Llaima","12021","Confirmed Eruption","NULL","5","NULL","NULL","-6880","75","0","NULL","0","NULL","Isotopic: 14C (uncalibrated)","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"357110","Llaima","12022","Confirmed Eruption","NULL","NULL","NULL","NULL","-5290","180","0","NULL","0","NULL","Isotopic: 14C (uncalibrated)","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"357110","Llaima","12057","Confirmed Eruption","NULL","2","NULL","NULL","1944","NULL","0","NULL","0","NULL","Observations: Reported","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"357110","Llaima","12058","Confirmed Eruption","NULL","3","NULL","NULL","1945","NULL","3","NULL","31","NULL","Observations: Reported","NULL","1945","NULL","4","NULL","3","NULL"
