"Volcano Number","Volcano Name","Eruption Number","Eruption Category","Area of Activity","VEI","VEI Modifier","Start Year Modifier","Start Year","Start Year Uncertainty","Start Month","Start Day Modifier","Start Day","Start Day Uncertainty","Evidence Method (dating)","End Year Modifier","End Year","End Year Uncertainty","End Month","End Day Modifier","End Day","End Day Uncertainty"
"259010","Newer Volcanics Province","15370","Confirmed Eruption","Red Rock","NULL","NULL","?","-5850","NULL","0","NULL","0","NULL","Isotopic: 14C (uncalibrated)","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"265090","Banda Api","16395","Confirmed Eruption","NULL","3","^","NULL","1586","NULL","4","NULL","17","NULL","Observations: Reported","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"265090","Banda Api","16399","Confirmed Eruption","NULL","3","^","NULL","1632","NULL","12","NULL","16","NULL","Observations: Reported","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"265090","Banda Api","16404","Confirmed Eruption","NULL","2","NULL","NULL","1722","NULL","0","NULL","0","NULL","Observations: Reported","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"273083","Pinatubo","16863","Confirmed Eruption","NULL","NULL","NULL","NULL","-7030","300","0","NULL","0","NULL","Isotopic: 14C (calibrated)","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"273083","Pinatubo","16867","Confirmed Eruption","Lower north flank and summit","6","NULL","NULL","1991","NULL","4","NULL","2","NULL","Observations: Reported","NULL","1991","NULL","9","NULL","2","NULL"
"284200","Anatahan","18535","Confirmed Eruption","East Crater","3","NULL","NULL","2003","NULL","5","NULL","10","NULL","Observations: Reported","NULL","2003","NULL","7","NULL","12","3"
"285050","Tokachidake","18637","Confirmed Eruption","NULL","NULL","NULL","NULL","1","50","NULL","NULL","NULL","NULL","Isotopic: 14C (calibrated)","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"285050","Tokachidake","18646","Confirmed Eruption","Maru-yama (Yunuma)","2","NULL","NULL","1889","NULL","0","NULL","0","NULL","Observations: Reported","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"300122","Kostakan","19114","Confirmed Eruption","Glavny","1","?","?","1350","NULL","0","NULL","0","NULL","Correlation: Tephrochronology","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"300150","Bolshoi Semiachik","17642","Confirmed Eruption","Korona and Yezh lava domes","NULL","NULL","?","-4450","NULL","0","NULL","0","NULL","Isotopic: 14C (calibrated)","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"300260","Klyuchevskoy","19203","Confirmed Eruption","NULL","4","NULL","NULL","1931","NULL","3","NULL","25","NULL","Observations: Reported","NULL","1931","NULL","3","NULL","27","NULL"
"300260","Klyuchevskoy","19407","Confirmed Eruption","NULL","2","NULL","NULL","1788","NULL","2","NULL","0","NULL","Observations: Reported","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"300260","Klyuchevskoy","19412","Confirmed Eruption","NULL","2","NULL","NULL","1807","NULL","2","NULL","1","30","Observations: Reported","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"300260","Klyuchevskoy","19437","Confirmed Eruption","Summit, east flank (Bilyukai)","3","NULL","NULL","1937","NULL","4","NULL","3","NULL","Observations: Reported","NULL","1939","NULL","3","NULL","0","NULL"
"300260","Klyuchevskoy","19446","Confirmed Eruption","Summit and SE flank (1500 m)","2","NULL","NULL","1956","NULL","1","NULL","16","15","Observations: Reported","NULL","1956","NULL","8","NULL","2","NULL"
"300260","Klyuchevskoy","19471","Confirmed Eruption","NULL","2","NULL","NULL","1992","NULL","9","NULL","12","NULL","Observations: Reported","NULL","1993","NULL","9","NULL","12","1"
"300260","Klyuchevskoy","19480","Confirmed Eruption","NULL","2","NULL","NULL","2002","NULL","11","NULL","24","NULL","Observations: Reported","NULL","2004","NULL","4","NULL","8","NULL"
"300260","Klyuchevskoy","20786","Confirmed Eruption","Summit crater and multiple flanks","3","NULL","NULL","2013","NULL","8","NULL","15","NULL","Observations: Reported","NULL","2013","NULL","12","NULL","20","NULL"
"311390","Amak","20109","Confirmed Eruption","NULL","NULL","NULL","NULL","1700","NULL","0","NULL","0","NULL","Observations: Reported","NULL","1710","NULL","0","NULL","0","NULL"
"312150","Mageik","20216","Confirmed Eruption","East Mageik","NULL","NULL","?","-650","NULL","0","NULL","0","NULL","Isotopic: 14C (uncalibrated)","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"344040","Telica","10915","Confirmed Eruption","NULL","2","NULL","NULL","1939","NULL","1","NULL","0","NULL","Observations: Reported","NULL","1939","NULL","6","NULL","0","NULL"
"344040","Telica","10924","Confirmed Eruption","NULL","1","NULL","NULL","1962","NULL","1","NULL","16","15","Observations: Reported","NULL","1962","NULL","1","NULL","16","15"
"346010","Baru","11251","Confirmed Eruption","NULL","NULL","NULL","NULL","-1270","100","0","NULL","0","NULL","Isotopic: 14C (calibrated)","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"346010","Baru","11256","Confirmed Eruption","NULL","NULL","NULL","NULL","1550","10","0","NULL","0","NULL","Observations: Reported","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"211040","Stromboli","13430","Confirmed Eruption","Summit craters and Sciara del Fuoco","3","NULL","NULL","1910","NULL","5","NULL","0","NULL","Observations: Reported","NULL","1931","NULL","7","NULL","0","NULL"
"221270","Aluto","13957","Confirmed Eruption","NULL","NULL","NULL","?","-50","NULL","0","NULL","0","NULL","Isotopic: 14C (uncalibrated)","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"222090","Olkaria","13991","Confirmed Eruption","NE side (Gorge Farm)","NULL","NULL","?","-6050","NULL","0","NULL","0","NULL","Correlation: Tephrochronology","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"243030","Tofua Arc at 20.9°S","14727","Confirmed Eruption","NULL","0","NULL","NULL","1911","NULL","8","NULL","0","NULL","Observations: Reported","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"263090","Tangkuban Parahu","15668","Confirmed Eruption","NULL","2","NULL","NULL","1826","NULL","10","NULL","11","NULL","Observations: Reported","NULL","1826","NULL","10","NULL","11","NULL"
"263090","Tangkuban Parahu","15672","Confirmed Eruption","Kawah Baru","2","NULL","NULL","1896","NULL","5","NULL","22","NULL","Observations: Reported","NULL","1896","NULL","5","NULL","23","NULL"
"243080","Home Reef","14770","Confirmed Eruption","NULL","3","?","NULL","1984","NULL","3","NULL","1","NULL","Observations: Reported","NULL","1984","NULL","3","NULL","5","NULL"
"264250","Iliwerung","16344","Confirmed Eruption","NULL","2","NULL","NULL","1951","NULL","11","NULL","12","NULL","Observations: Reported","NULL","1951","NULL","11","NULL","16","NULL"
"265090","Banda Api","16408","Confirmed Eruption","NULL","2","NULL","NULL","1773","NULL","2","NULL","6","NULL","Observations: Reported","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"267010","Ruang","16493","Confirmed Eruption","NULL","4","?","NULL","2002","NULL","9","NULL","25","NULL","Observations: Reported","NULL","2002","NULL","9","?","29","NULL"
"285050","Tokachidake","18650","Confirmed Eruption","NULL","1","NULL","NULL","1931","NULL","5","NULL","16","NULL","Observations: Reported","NULL","1931","NULL","5","NULL","16","NULL"
"300260","Klyuchevskoy","19399","Confirmed Eruption","NULL","2","NULL","NULL","1737","NULL","9","?","25","NULL","Observations: Reported","NULL","1737","NULL","11","?","4","NULL"
"300260","Klyuchevskoy","19403","Confirmed Eruption","NULL","2","NULL","NULL","1770","NULL","5","NULL","0","NULL","Observations: Reported","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"300260","Klyuchevskoy","19416","Confirmed Eruption","NULL","4","?","NULL","1829","NULL","9","NULL","9","NULL","Observations: Reported","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"300260","Klyuchevskoy","19433","Confirmed Eruption","NULL","2","NULL","NULL","1909","NULL","6","NULL","0","NULL","Observations: Reported","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"300260","Klyuchevskoy","19450","Confirmed Eruption","NULL","3","NULL","NULL","1960","NULL","12","NULL","16","15","Observations: Reported","NULL","1963","NULL","3",">","22","NULL"
"300260","Klyuchevskoy","19467","Confirmed Eruption","NULL","2","NULL","NULL","1986","NULL","6","NULL","8","NULL","Observations: Reported","NULL","1986","NULL","7","NULL","11","NULL"
"300260","Klyuchevskoy","19484","Confirmed Eruption","NULL","1","NULL","NULL","2008","NULL","10","NULL","8","NULL","Observations: Reported","NULL","2009","NULL","4","?","16","NULL"
"300680","Ostry","19620","Confirmed Eruption","SW flank cinder cone","NULL","NULL","?","-2050","NULL","0","NULL","0","NULL","Isotopic: 14C (uncalibrated)","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"314010","St. Paul Island","20403","Confirmed Eruption","West side (Fox Hill)","NULL","NULL","NULL","-1280","40","0","NULL","0","NULL","Isotopic: 14C (uncalibrated)","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"344040","Telica","10911","Confirmed Eruption","NULL","2","NULL","NULL","1928","NULL","0","NULL","0","NULL","Observations: Reported","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"344040","Telica","10928","Confirmed Eruption","NULL","0","NULL","NULL","1975","NULL","5","NULL","16","15","Observations: Reported","NULL","1976","NULL","3","NULL","16","15"
"382001","Flores","12983","Confirmed Eruption","Caldeira Funda de Lajes","NULL","NULL","NULL","-1200","100","0","NULL","0","NULL","Isotopic: 14C (uncalibrated)","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"390030","Deception Island","13166","Confirmed Eruption","NULL","NULL","NULL","?","-6750","NULL","0","NULL","0","NULL","Isotopic: 14C (uncalibrated)","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"390030","Deception Island","13183","Confirmed Eruption","NE side caldera bay (Pendulum Cove)","NULL","NULL","NULL","1827","2","0","NULL","0","NULL","Observations: Reported","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"212042","Kolumbo","13885","Confirmed Eruption","Kolumbo crater","4","?","NULL","1650","NULL","9","NULL","27","NULL","Observations: Reported","NULL","1650","NULL","12","NULL","6","NULL"
"211040","Stromboli","13417","Confirmed Eruption","NULL","2","NULL","NULL","-50","50","0","NULL","0","NULL","Observations: Reported","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"263090","Tangkuban Parahu","15676","Confirmed Eruption","Kawah Ecoma","1","NULL","NULL","1952","NULL","7","?","4","NULL","Observations: Reported","NULL","1952","NULL","7","NULL","11","NULL"
"266100","Lokon-Empung","16442","Confirmed Eruption","Empung","3","NULL","NULL","1775","25","0","NULL","0","NULL","Observations: Reported","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"266100","Lokon-Empung","16459","Confirmed Eruption","Tompaluan","3","NULL","NULL","1991","NULL","5","NULL","17","NULL","Observations: Reported","NULL","1992","NULL","1","NULL","16","15"
"266100","Lokon-Empung","21071","Confirmed Eruption","Tompaluan","1","NULL","NULL","2015","NULL","5","NULL","20","NULL","Observations: Reported","NULL","2015","NULL","5","NULL","27","NULL"
"272020","Kanlaon","16727","Confirmed Eruption","NULL","2","NULL","NULL","1902","NULL","1","NULL","31","NULL","Observations: Reported","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"272020","Kanlaon","16744","Confirmed Eruption","NULL","2","NULL","NULL","1992","NULL","6","NULL","10","NULL","Observations: Reported","NULL","1992","NULL","6","NULL","10","NULL"
"272020","Kanlaon","22594","Confirmed Eruption","NULL","2","NULL","NULL","2024","NULL","10","NULL","19","NULL","Observations: Reported",">","2026","NULL","3","NULL","25","NULL"
"283280","Hakkodasan","18131","Confirmed Eruption","O-dake","1","NULL","?","-1150","NULL","0","NULL","0","NULL","Isotopic: 14C (calibrated)","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"284030","Kozushima","18250","Confirmed Eruption","Jogo-yama","NULL","NULL","?","-8050","NULL","0","NULL","0","NULL","Correlation: Tephrochronology","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"284041","Mikurajima","17578","Confirmed Eruption","Tsubunegamori & Yasukajigamori domes","NULL","NULL","NULL","-4100","100","0","NULL","0","NULL","Isotopic: 14C (calibrated)","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"266100","Lokon-Empung","16463","Confirmed Eruption","Tompaluan","3","NULL","NULL","2003","NULL","9","NULL","12","NULL","Observations: Reported","NULL","2003","NULL","9","NULL","12","NULL"
"272020","Kanlaon","16638","Confirmed Eruption","NULL","2","NULL","NULL","2006","NULL","6","NULL","3","NULL","Observations: Reported","NULL","2006","NULL","7","NULL","25","NULL"
"272020","Kanlaon","16731","Confirmed Eruption","NULL","2","NULL","NULL","1932","NULL","12","NULL","0","NULL","Observations: Reported","NULL","1933","NULL","1","NULL","0","NULL"
"272020","Kanlaon","16740","Confirmed Eruption","NULL","1","NULL","NULL","1988","NULL","6","NULL","21","NULL","Observations: Reported","NULL","1988","NULL","7","NULL","2","NULL"
"283280","Hakkodasan","18135","Confirmed Eruption","SW flank of O-dake (Jigoku-numa)","1","NULL","NULL","1550","100","0","NULL","0","NULL","Isotopic: 14C (calibrated)","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"290240","Sarychev Peak","18803","Confirmed Eruption","Near Toporkovyi islet","1","NULL","NULL","1924","NULL","2","NULL","15","NULL","Observations: Reported","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"290240","Sarychev Peak","18812","Confirmed Eruption","NULL","4","NULL","NULL","1946","NULL","11","NULL","9","NULL","Observations: Reported","NULL","1946","NULL","11","NULL","19","NULL"
"290240","Sarychev Peak","22288","Confirmed Eruption","Summit crater","2","NULL","NULL","2018","NULL","9","NULL","8","NULL","Observations: Reported","NULL","2018","NULL","10","NULL","15","NULL"
"290380","Ebeko","18871","Confirmed Eruption","Northern crater","1","NULL","NULL","1967","NULL","1","NULL","16","15","Observations: Reported","NULL","1967","NULL","4","?","16","15"
"300070","Gorely","18978","Confirmed Eruption","NULL","3","NULL","?","-5650","NULL","0","NULL","0","NULL","Correlation: Tephrochronology","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"300070","Gorely","19003","Confirmed Eruption","NULL","2","NULL","?","-2000","NULL","0","NULL","0","NULL","Correlation: Tephrochronology","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"300070","Gorely","19012","Confirmed Eruption","NULL","2","?","NULL","1750","50","0","NULL","0","NULL","Correlation: Tephrochronology","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"311110","Kanaga","19705","Confirmed Eruption","NULL","NULL","NULL","NULL","-1900","300","0","NULL","0","NULL","Isotopic: 14C (calibrated)","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"343030","Izalco","10783","Confirmed Eruption","NULL","2","NULL","NULL","1850","NULL","0","NULL","0","NULL","Observations: Reported","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"343030","Izalco","10788","Confirmed Eruption","NULL","0","NULL","NULL","1859","NULL","12","NULL","8","NULL","Observations: Reported","NULL","1860","NULL","1","NULL","22","NULL"
"343030","Izalco","10792","Confirmed Eruption","NULL","2","NULL","NULL","1867","NULL","4","NULL","0","NULL","Observations: Reported","NULL","1867","NULL","8","NULL","0","NULL"
"343030","Izalco","10813","Confirmed Eruption","NULL","3","?","NULL","1925","NULL","12","NULL","26","NULL","Observations: Reported","NULL","1927","NULL","1","NULL","0","NULL"
"343030","Izalco","10817","Confirmed Eruption","NULL","2","NULL","NULL","1933","NULL","11","NULL","30","NULL","Observations: Reported","NULL","1934","NULL","1",">","12","NULL"
"351012","Bravo, Cerro","11260","Confirmed Eruption","NULL","4","NULL","NULL","-1050","200","0","NULL","0","NULL","Correlation: Tephrochronology","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"357070","Chillan, Nevados de","11983","Confirmed Eruption","Volcán Nuevo","2","?","NULL","1927","NULL","4","NULL","10","NULL","Observations: Reported","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"357070","Chillan, Nevados de","11992","Confirmed Eruption","Saddle between Nuevo & Arrau volcanoes","1","NULL","NULL","2003","NULL","8","NULL","29","NULL","Observations: Reported","NULL","2003","NULL","9","NULL","15","5"
"357122","Lanin","12085","Confirmed Eruption","NULL","NULL","NULL","NULL","400","150","0","NULL","0","NULL","Isotopic: 14C (calibrated)","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"358070","Burney, Monte","12328","Confirmed Eruption","NULL","NULL","NULL","NULL","-90","100","0","NULL","0","NULL","Isotopic: 14C (calibrated)","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"241080","Tongariro","13557","Confirmed Eruption","Ngauruhoe (south sub-crater)","2","NULL","NULL","1883","NULL","4","NULL","25","5","Observations: Reported","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"241080","Tongariro","13566","Confirmed Eruption","Ngauruhoe","2","NULL","NULL","1898","NULL","1","NULL","0","NULL","Observations: Reported","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"241080","Tongariro","14557","Confirmed Eruption","Saddle cone area to Half Cone","5","NULL","?","-9450","NULL","0","NULL","0","NULL","Isotopic: 14C (calibrated)","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"241080","Tongariro","14566","Confirmed Eruption","Ngauruhoe","2","NULL","NULL","1910","NULL","10","NULL","0","NULL","Observations: Reported","NULL","1911","NULL","1","NULL","0","NULL"
"241080","Tongariro","14600","Confirmed Eruption","Ngauruhoe","2","NULL","NULL","1969","NULL","1","NULL","21","NULL","Observations: Reported","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"242030","Raoul Island","14693","Confirmed Eruption","NE of Raoul Island (Meyer Islands)","NULL","NULL","?","1450","NULL","0","NULL","0","NULL","Correlation: Tephrochronology","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"242030","Raoul Island","14702","Confirmed Eruption","Green Lake crater","1","?","NULL","2006","NULL","3","NULL","17","NULL","Observations: Reported","NULL","2006","NULL","3","NULL","17","NULL"
"257050","Lopevi","15293","Confirmed Eruption","NULL","2","NULL","NULL","1908","NULL","0","NULL","0","NULL","Observations: Reported","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"243080","Home Reef","22478","Confirmed Eruption","NULL","2","NULL","NULL","2022","NULL","9","NULL","10","NULL","Observations: Reported","NULL","2022","NULL","10","NULL","17","NULL"
"250010","St. Andrew Strait","14854","Confirmed Eruption","Lou Island (Bedal volcano)","NULL","NULL","NULL","-240","100","0","NULL","0","NULL","Isotopic: 14C (uncalibrated)","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"250010","St. Andrew Strait","14856","Confirmed Eruption","Lou Island (Bedal volcano)","NULL","NULL","?","350","NULL","0","NULL","0","NULL","Isotopic: 14C (uncalibrated)","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"264250","Iliwerung","16341","Confirmed Eruption","East flank (Iligripe)","2","NULL","NULL","1948","NULL","4","NULL","7","NULL","Observations: Reported","NULL","1948","NULL","11","NULL","26","NULL"
"265090","Banda Api","16411","Confirmed Eruption","NULL","2","NULL","NULL","1816","NULL","10","NULL","11","NULL","Observations: Reported","NULL","1816","NULL","12","NULL","0","NULL"
"267010","Ruang","16477","Confirmed Eruption","NULL","2","NULL","NULL","1808","NULL","0","NULL","0","NULL","Observations: Reported","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"273083","Pinatubo","16862","Confirmed Eruption","Tayawan caldera","6","?","NULL","-7460","150","0","NULL","0","NULL","Isotopic: 14C (calibrated)","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"284121","Kita-Fukutokutai","18398","Confirmed Eruption","NULL","0","NULL","NULL","1953","NULL","7","NULL","2","182","Observations: Reported","NULL","1954","NULL","7","NULL","2","182"
"285050","Tokachidake","18634","Confirmed Eruption","NULL","NULL","NULL","NULL","-2650","200","0","NULL","0","NULL","Isotopic: 14C (calibrated)","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"285050","Tokachidake","18647","Confirmed Eruption","Shin-funkako","3","NULL","NULL","1925","NULL","11","NULL","20","NULL","Observations: Reported","NULL","1927","NULL","9","NULL","0","NULL"
"285050","Tokachidake","18649","Confirmed Eruption","Shin-funkako","1","NULL","NULL","1928","NULL","12","NULL","4","NULL","Observations: Reported","NULL","1928","NULL","12","NULL","25","NULL"
"300260","Klyuchevskoy","19400","Confirmed Eruption","NULL","NULL","NULL","NULL","1740","NULL","0","NULL","0","NULL","Observations: Reported","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"300260","Klyuchevskoy","19419","Confirmed Eruption","NULL","2","NULL","NULL","1852","NULL","2","NULL","0","NULL","Observations: Reported","NULL","1852","NULL","3","NULL","0","NULL"
"300260","Klyuchevskoy","19434","Confirmed Eruption","NULL","2","NULL","NULL","1910","NULL","8","NULL","0","NULL","Observations: Reported","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"300260","Klyuchevskoy","19436","Confirmed Eruption","NULL","3","NULL","NULL","1935","NULL","4","NULL","21","NULL","Observations: Reported","NULL","1936","NULL","11",">","4","NULL"
"300260","Klyuchevskoy","19470","Confirmed Eruption","NULL","2","NULL","NULL","1992","NULL","1","NULL","25","NULL","Observations: Reported","NULL","1992","NULL","5","?","25","NULL"
"300260","Klyuchevskoy","19483","Confirmed Eruption","NULL","2","NULL","NULL","2007","NULL","2","NULL","15","NULL","Observations: Reported","NULL","2007","NULL","7","NULL","15","NULL"
"300260","Klyuchevskoy","19485","Confirmed Eruption","NULL","2","NULL","NULL","2009","NULL","8","?","1","NULL","Observations: Reported","NULL","2010","NULL","12","?","20","NULL"
"315030","Churchill","20421","Confirmed Eruption","NULL","6","NULL","NULL","63","200","0","NULL","0","NULL","Isotopic: 14C (uncalibrated)","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"344040","Telica","10910","Confirmed Eruption","NULL","2","NULL","NULL","1927","NULL","8","NULL","0","NULL","Observations: Reported","NULL","1927","NULL","11","NULL","0","NULL"
"344040","Telica","10912","Confirmed Eruption","NULL","1","?","NULL","1929","NULL","1","NULL","0","NULL","Observations: Reported","NULL","1929","NULL","1","NULL","0","NULL"
"357050","Descabezado Grande","11948","Confirmed Eruption","Upper NNE slope","3","NULL","NULL","1932","NULL","6","NULL","5","5","Observations: Reported","NULL","1933","NULL","0","NULL","0","NULL"
"382001","Flores","12984","Confirmed Eruption","Caldeira Comprida","NULL","NULL","NULL","-950","100","0","NULL","0","NULL","Isotopic: 14C (uncalibrated)","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"390030","Deception Island","13167","Confirmed Eruption","NULL","NULL","NULL","?","-3250","NULL","0","NULL","0","NULL","Isotopic: 14C (uncalibrated)","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"390030","Deception Island","13169","Confirmed Eruption","NULL","NULL","NULL","?","-1550","NULL","0","NULL","0","NULL","Isotopic: 14C (uncalibrated)","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"390030","Deception Island","13182","Confirmed Eruption","N side caldera bay (near Telefon Bay)","NULL","NULL","<","1800","NULL","0","NULL","0","NULL","Observations: Reported","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"211040","Stromboli","13418","Confirmed Eruption","NULL","2","NULL","NULL","50","50","0","NULL","0","NULL","Observations: Reported","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"211040","Stromboli","13420","Confirmed Eruption","NULL","2","NULL","NULL","250","50","0","NULL","0","NULL","Observations: Reported","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"213040","Ararat","13533","Confirmed Eruption","NW flank","NULL","NULL","NULL","-2450","50","0","NULL","0","NULL","Correlation: Anthropology","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"221270","Aluto","22527","Confirmed Eruption","Tephra sample from E flank of edifice","NULL","NULL","NULL","1550","50","NULL","NULL","NULL","NULL","Isotopic: 14C (calibrated)","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"263090","Tangkuban Parahu","15675","Confirmed Eruption","Kawah Ecoma","0","NULL","NULL","1929","NULL","5","NULL","20","NULL","Observations: Reported","NULL","1929","NULL","5","NULL","20","NULL"
"241080","Tongariro","13565","Confirmed Eruption","Ngauruhoe","2","NULL","NULL","1897","NULL","0","NULL","0","NULL","Observations: Reported","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"241080","Tongariro","14558","Confirmed Eruption","Tama Lakes to Te Mari","5","NULL","?","-9350","NULL","0","NULL","0","NULL","Correlation: Tephrochronology","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"241080","Tongariro","14565","Confirmed Eruption","Ngauruhoe","2","NULL","NULL","1910","NULL","1","NULL","0","NULL","Observations: Reported","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"241080","Tongariro","14594","Confirmed Eruption","Ngauruhoe (south sub-crater)","3","NULL","NULL","1954","NULL","5","NULL","13","NULL","Observations: Reported","NULL","1955","NULL","6","NULL","25","NULL"
"241080","Tongariro","14601","Confirmed Eruption","Ngauruhoe","2","NULL","NULL","1972","NULL","3","NULL","19","NULL","Observations: Reported","NULL","1972","NULL","6","NULL","6","NULL"
"242030","Raoul Island","14694","Confirmed Eruption","Rangitahua Crater","4","NULL","NULL","1630","50","0","NULL","0","NULL","Isotopic: 14C (uncalibrated)","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"257050","Lopevi","15294","Confirmed Eruption","NULL","2","NULL","NULL","1922","NULL","6","NULL","28","NULL","Observations: Reported","NULL","1922","NULL","7","NULL","1","NULL"
"257050","Lopevi","15301","Confirmed Eruption","NULL","NULL","NULL","NULL","1883","NULL","0","NULL","0","NULL","Observations: Reported","NULL","1884","NULL","0","NULL","0","NULL"
"261160","Talang","15494","Confirmed Eruption","Kepundan Panjang & Kabuo, Gabuo Atas","1","NULL","NULL","2001","NULL","9","NULL","25","NULL","Observations: Reported","NULL","2001","NULL","11","NULL","15","3"
"262000","Krakatau","15580","Confirmed Eruption","NULL","NULL","NULL","NULL","250","50","0","NULL","0","NULL","Observations: Reported","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"262000","Krakatau","15587","Confirmed Eruption","NULL","NULL","NULL","NULL","1530","NULL","0","NULL","0","NULL","Observations: Reported","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"262000","Krakatau","15594","Confirmed Eruption","Anak Krakatau","1","NULL","NULL","1936","NULL","10","NULL","13","NULL","Observations: Reported","NULL","1936","NULL","11","NULL","0","NULL"
"264230","Lewotolok","16330","Confirmed Eruption","NULL","2","NULL","NULL","1819","NULL","0","NULL","0","NULL","Observations: Reported","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"265060","Nila","16380","Confirmed Eruption","SE flank","2","NULL","NULL","1932","NULL","3","NULL","13","NULL","Observations: Reported","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"283230","Akita-Komagatake","18045","Confirmed Eruption","Minami-dake, Ko-dake","NULL","NULL","NULL","-200","200","0","NULL","0","NULL","Isotopic: 14C (calibrated)","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"283230","Akita-Komagatake","18052","Confirmed Eruption","Ishibora (south flank of Me-dake)","2","NULL","NULL","1932","NULL","7","NULL","21","NULL","Observations: Reported","NULL","1932","NULL","7","NULL","24","NULL"
"285034","Kuttara","18588","Confirmed Eruption","West flank (Jigoku-dani)","1","NULL","NULL","1820","100","0","NULL","0","NULL","Correlation: Tephrochronology","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"290041","Moekeshiwan [Lvinaya Past]","18745","Confirmed Eruption","NULL","6","+","NULL","-10335","245","NULL","NULL","NULL","NULL","Isotopic: 14C (calibrated)","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
