"Elevation","Rock Type"
-217,"Andesite / Basaltic Andesite"
-598,"Andesite / Basaltic Andesite"
-274,"Basalt / Picro-Basalt"
-1535,"Basalt / Picro-Basalt"
-323,"Andesite / Basaltic Andesite"
337,"Andesite / Basaltic Andesite"
-55,"Andesite / Basaltic Andesite"
-8,"Andesite / Basaltic Andesite"
227,"Basalt / Picro-Basalt"
857,"Andesite / Basaltic Andesite"
965,"Basalt / Picro-Basalt"
570,"Basalt / Picro-Basalt"
744,"Andesite / Basaltic Andesite"
232,"Andesite / Basaltic Andesite"
0,"Basalt / Picro-Basalt"
494,"Andesite / Basaltic Andesite"
-184,"No Data (checked)"
790,"Andesite / Basaltic Andesite"
-127,"Dacite"
-174,"Basalt / Picro-Basalt"
-74,"Basalt / Picro-Basalt"
-455,"Basalt / Picro-Basalt"
-1456,"No Data (checked)"
-1230,"Basalt / Picro-Basalt"
732,"Basalt / Picro-Basalt"
618,"Andesite / Basaltic Andesite"
1131,"Andesite / Basaltic Andesite"
733,"Basalt / Picro-Basalt"
1308,"Andesite / Basaltic Andesite"
1888,"Andesite / Basaltic Andesite"
549,"Basalt / Picro-Basalt"
1320,"Andesite / Basaltic Andesite"
1721,"Andesite / Basaltic Andesite"
2077,"Andesite / Basaltic Andesite"
2291,"Andesite / Basaltic Andesite"
2013,"Andesite / Basaltic Andesite"
1499,"Andesite / Basaltic Andesite"
574,"Dacite"
857,"Andesite / Basaltic Andesite"
1660,"Andesite / Basaltic Andesite"
1562,"Andesite / Basaltic Andesite"
535,"Andesite / Basaltic Andesite"
882,"Andesite / Basaltic Andesite"
1447,"Andesite / Basaltic Andesite"
1822,"Basalt / Picro-Basalt"
1221,"Andesite / Basaltic Andesite"
1206,"Andesite / Basaltic Andesite"
1610,"Andesite / Basaltic Andesite"
1158,"Andesite / Basaltic Andesite"
1107,"Andesite / Basaltic Andesite"
1587,"Basalt / Picro-Basalt"
1124,"Andesite / Basaltic Andesite"
1426,"No Data (checked)"
1328,"Andesite / Basaltic Andesite"
-100,"No Data (checked)"
742,"Andesite / Basaltic Andesite"
1504,"Andesite / Basaltic Andesite"
612,"Andesite / Basaltic Andesite"
1360,"Basalt / Picro-Basalt"
678,"Andesite / Basaltic Andesite"
1172,"Andesite / Basaltic Andesite"
357,"Andesite / Basaltic Andesite"
36,"No Data (checked)"
956,"Andesite / Basaltic Andesite"
1496,"Andesite / Basaltic Andesite"
551,"Basalt / Picro-Basalt"
724,"Andesite / Basaltic Andesite"
1170,"Andesite / Basaltic Andesite"
911,"Andesite / Basaltic Andesite"
1145,"Andesite / Basaltic Andesite"
1272,"Andesite / Basaltic Andesite"
994,"Andesite / Basaltic Andesite"
693,"Andesite / Basaltic Andesite"
1742,"Andesite / Basaltic Andesite"
1326,"Andesite / Basaltic Andesite"
1781,"Basalt / Picro-Basalt"
1183,"Andesite / Basaltic Andesite"
1103,"Andesite / Basaltic Andesite"
2285,"Basalt / Picro-Basalt"
2116,"Basalt / Picro-Basalt"
1822,"Basalt / Picro-Basalt"
646,"Basalt / Picro-Basalt"
1040,"Dacite"
81,"Dacite"
1555,"Andesite / Basaltic Andesite"
1926,"Basalt / Picro-Basalt"
1007,"Andesite / Basaltic Andesite"
681,"Basalt / Picro-Basalt"
2039,"Andesite / Basaltic Andesite"
1910,"Basalt / Picro-Basalt"
1227,"Basalt / Picro-Basalt"
2288,"Basalt / Picro-Basalt"
1799,"Basalt / Picro-Basalt"
2439,"Basalt / Picro-Basalt"
1021,"Basalt / Picro-Basalt"
2173,"Andesite / Basaltic Andesite"
874,"Basalt / Picro-Basalt"
3430,"Andesite / Basaltic Andesite"
2717,"Andesite / Basaltic Andesite"
2285,"Andesite / Basaltic Andesite"
2899,"Andesite / Basaltic Andesite"
520,"Basalt / Picro-Basalt"
1150,"Basalt / Picro-Basalt"
2278,"Andesite / Basaltic Andesite"
1547,"Basalt / Picro-Basalt"
1180,"Andesite / Basaltic Andesite"
1513,"Andesite / Basaltic Andesite"
1527,"Basalt / Picro-Basalt"
1720,"Basalt / Picro-Basalt"
2301,"Andesite / Basaltic Andesite"
1617,"Andesite / Basaltic Andesite"
1515,"Basalt / Picro-Basalt"
1816,"Basalt / Picro-Basalt"
3482,"Basalt / Picro-Basalt"
2539,"Basalt / Picro-Basalt"
2065,"Basalt / Picro-Basalt"
2129,"Andesite / Basaltic Andesite"
2334,"Andesite / Basaltic Andesite"
3611,"Basalt / Picro-Basalt"
2886,"Andesite / Basaltic Andesite"
3057,"Andesite / Basaltic Andesite"
2882,"Andesite / Basaltic Andesite"
4585,"Basalt / Picro-Basalt"
4754,"Basalt / Picro-Basalt"
3943,"Basalt / Picro-Basalt"
3283,"Andesite / Basaltic Andesite"
-300,"Dacite"
1967,"Dacite"
1868,"Andesite / Basaltic Andesite"
3596,"Basalt / Picro-Basalt"
1401,"Basalt / Picro-Basalt"
2570,"Basalt / Picro-Basalt"
355,"Andesite / Basaltic Andesite"
765,"Basalt / Picro-Basalt"
1399,"Basalt / Picro-Basalt"
2125,"Andesite / Basaltic Andesite"
583,"Basalt / Picro-Basalt"
265,"Andesite / Basaltic Andesite"
1523,"Basalt / Picro-Basalt"
1381,"Basalt / Picro-Basalt"
1764,"Basalt / Picro-Basalt"
2171,"Dacite"
2552,"Basalt / Picro-Basalt"
1936,"Basalt / Picro-Basalt"
2180,"Trachybasalt / Tephrite Basanite"
2047,"Basalt / Picro-Basalt"
2326,"Trachybasalt / Tephrite Basanite"
5090,"Trachyte / Trachydacite"
1605,"Basalt / Picro-Basalt"
1677,"Basalt / Picro-Basalt"
670,"Trachybasalt / Tephrite Basanite"
597,"Trachybasalt / Tephrite Basanite"
1000,"Trachybasalt / Tephrite Basanite"
1000,"Basalt / Picro-Basalt"
2744,"Trachyte / Trachydacite"
984,"Trachyandesite / Basaltic Trachyandesite"
1919,"Basalt / Picro-Basalt"
656,"Basalt / Picro-Basalt"
1220,"Andesite / Basaltic Andesite"
1160,"Andesite / Basaltic Andesite"
328,"No Data (checked)"
1174,"Andesite / Basaltic Andesite"
1221,"Basalt / Picro-Basalt"
1573,"Basalt / Picro-Basalt"
1806,"Basalt / Picro-Basalt"
1449,"Basalt / Picro-Basalt"
738,"Basalt / Picro-Basalt"
1307,"Andesite / Basaltic Andesite"
1196,"Andesite / Basaltic Andesite"
1740,"Andesite / Basaltic Andesite"
314,"Basalt / Picro-Basalt"
273,"Andesite / Basaltic Andesite"
1518,"Basalt / Picro-Basalt"
1054,"Andesite / Basaltic Andesite"
1066,"Andesite / Basaltic Andesite"
1028,"Andesite / Basaltic Andesite"
550,"Andesite / Basaltic Andesite"
1280,"Andesite / Basaltic Andesite"
1620,"Andesite / Basaltic Andesite"
1730,"Andesite / Basaltic Andesite"
1170,"Rhyolite"
888,"No Data (checked)"
893,"No Data (checked)"
2160,"Andesite / Basaltic Andesite"
1984,"Andesite / Basaltic Andesite"
1073,"Basalt / Picro-Basalt"
150,"Trachyandesite / Basaltic Trachyandesite"
1800,"Andesite / Basaltic Andesite"
1303,"Basalt / Picro-Basalt"
1563,"Basalt / Picro-Basalt"
1112,"Andesite / Basaltic Andesite"
2857,"Basalt / Picro-Basalt"
1871,"Rhyolite"
547,"Andesite / Basaltic Andesite"
1728,"Andesite / Basaltic Andesite"
1465,"Andesite / Basaltic Andesite"
1534,"Andesite / Basaltic Andesite"
2493,"Andesite / Basaltic Andesite"
2142,"Basalt / Picro-Basalt"
1354,"Andesite / Basaltic Andesite"
1895,"Andesite / Basaltic Andesite"
2507,"Andesite / Basaltic Andesite"
1032,"Andesite / Basaltic Andesite"
1341,"Andesite / Basaltic Andesite"
1345,"Andesite / Basaltic Andesite"
2221,"Andesite / Basaltic Andesite"
1677,"Andesite / Basaltic Andesite"
1474,"Andesite / Basaltic Andesite"
91,"Basalt / Picro-Basalt"
402,"No Data (checked)"
1863,"Dacite"
2165,"Andesite / Basaltic Andesite"
1864,"Andesite / Basaltic Andesite"
2047,"Andesite / Basaltic Andesite"
841,"Rhyolite"
2317,"Andesite / Basaltic Andesite"
2162,"Andesite / Basaltic Andesite"
2287,"Andesite / Basaltic Andesite"
2279,"Andesite / Basaltic Andesite"
2043,"Andesite / Basaltic Andesite"
901,"Dacite"
2105,"Andesite / Basaltic Andesite"
2140,"Andesite / Basaltic Andesite"
1218,"Andesite / Basaltic Andesite"
3053,"Andesite / Basaltic Andesite"
3108,"Andesite / Basaltic Andesite"
3374,"Andesite / Basaltic Andesite"
3034,"Dacite"
203,"Trachybasalt / Tephrite Basanite"
190,"Basalt / Picro-Basalt"
715,"Basalt / Picro-Basalt"
610,"Basalt / Picro-Basalt"
610,"Basalt / Picro-Basalt"
830,"Basalt / Picro-Basalt"
4278,"Andesite / Basaltic Andesite"
5005,"Dacite"
970,"Andesite / Basaltic Andesite"
15,"Basalt / Picro-Basalt"
50,"Basalt / Picro-Basalt"
500,"Basalt / Picro-Basalt"
1239,"Trachybasalt / Tephrite Basanite"
2217,"Basalt / Picro-Basalt"
1880,"Trachybasalt / Tephrite Basanite"
2123,"Basalt / Picro-Basalt"
2012,"Basalt / Picro-Basalt"
2164,"Trachyte / Trachydacite"
2786,"Trachyte / Trachydacite"
2430,"Rhyolite"
1850,"Phonolite"
1880,"Basalt / Picro-Basalt"
612,"Basalt / Picro-Basalt"
335,"Basalt / Picro-Basalt"
233,"Basalt / Picro-Basalt"
1238,"Trachybasalt / Tephrite Basanite"
950,"Basalt / Picro-Basalt"
2860,"Andesite / Basaltic Andesite"
2500,"Basalt / Picro-Basalt"
2680,"Dacite"
2316,"Andesite / Basaltic Andesite"
2678,"Dacite"
2375,"Andesite / Basaltic Andesite"
3285,"Andesite / Basaltic Andesite"
3213,"Dacite"
4392,"Andesite / Basaltic Andesite"
3742,"Andesite / Basaltic Andesite"
2549,"Dacite"
1329,"Andesite / Basaltic Andesite"
1806,"Basalt / Picro-Basalt"
3426,"Andesite / Basaltic Andesite"
3199,"Andesite / Basaltic Andesite"
1136,"Basalt / Picro-Basalt"
1664,"Basalt / Picro-Basalt"
2094,"Andesite / Basaltic Andesite"
3159,"Andesite / Basaltic Andesite"
2763,"Andesite / Basaltic Andesite"
2163,"Andesite / Basaltic Andesite"
2434,"Andesite / Basaltic Andesite"
1698,"Basalt / Picro-Basalt"
1958,"Basalt / Picro-Basalt"
2487,"Dacite"
1435,"Basalt / Picro-Basalt"
1473,"Basalt / Picro-Basalt"
4317,"Andesite / Basaltic Andesite"
2412,"Basalt / Picro-Basalt"
3187,"Andesite / Basaltic Andesite"
1439,"Dacite"
2121,"Dacite"
2796,"Rhyolite"
3369,"Trachyte / Trachydacite"
752,"Basalt / Picro-Basalt"
-40,"Rhyolite"
1478,"Basalt / Picro-Basalt"
2005,"Basalt / Picro-Basalt"
1597,"Basalt / Picro-Basalt"
1632,"Basalt / Picro-Basalt"
1251,"Basalt / Picro-Basalt"
2840,"Basalt / Picro-Basalt"
1800,"Basalt / Picro-Basalt"
1731,"Basalt / Picro-Basalt"
2550,"Basalt / Picro-Basalt"
2300,"Basalt / Picro-Basalt"
2230,"Basalt / Picro-Basalt"
1555,"Trachybasalt / Tephrite Basanite"
3850,"Basalt / Picro-Basalt"
-2050,"Basalt / Picro-Basalt"
-2100,"Basalt / Picro-Basalt"
-2400,"Basalt / Picro-Basalt"
-1410,"Basalt / Picro-Basalt"
-2140,"Basalt / Picro-Basalt"
-3000,"Basalt / Picro-Basalt"
-1700,"Basalt / Picro-Basalt"
-975,"Basalt / Picro-Basalt"
1222,"Basalt / Picro-Basalt"
4170,"Basalt / Picro-Basalt"
4205,"Basalt / Picro-Basalt"
2523,"Basalt / Picro-Basalt"
3053,"Basalt / Picro-Basalt"
-1743,"Trachybasalt / Tephrite Basanite"
-2515,"Trachyte / Trachydacite"
-312,"Trachybasalt / Tephrite Basanite"
389,"Trachybasalt / Tephrite Basanite"
-39,"Basalt / Picro-Basalt"
-39,"Basalt / Picro-Basalt"
-2700,"Basalt / Picro-Basalt"
-2300,"Basalt / Picro-Basalt"
-2900,"Basalt / Picro-Basalt"
-2500,"Basalt / Picro-Basalt"
-2430,"Basalt / Picro-Basalt"
-2800,"Basalt / Picro-Basalt"
-2566,"Basalt / Picro-Basalt"
-2650,"Basalt / Picro-Basalt"
-2600,"Basalt / Picro-Basalt"
-1000,"No Data (checked)"
-5700,"No Data (checked)"
1183,"Basalt / Picro-Basalt"
183,"Rhyolite"
960,"Andesite / Basaltic Andesite"
1360,"Andesite / Basaltic Andesite"
224,"Basalt / Picro-Basalt"
780,"Trachyandesite / Basaltic Trachyandesite"
332,"Trachyte / Trachydacite"
1050,"Trachyte / Trachydacite"
2075,"Trachybasalt / Tephrite Basanite"
2340,"Andesite / Basaltic Andesite"
2280,"Andesite / Basaltic Andesite"
2525,"Andesite / Basaltic Andesite"
3850,"Andesite / Basaltic Andesite"
3860,"Andesite / Basaltic Andesite"
3500,"Dacite"
3911,"Dacite"
4680,"Andesite / Basaltic Andesite"
3938,"Andesite / Basaltic Andesite"
5230,"Andesite / Basaltic Andesite"
5393,"Andesite / Basaltic Andesite"
4461,"Andesite / Basaltic Andesite"
3485,"Rhyolite"
3150,"Rhyolite"
2000,"Basalt / Picro-Basalt"
5564,"Andesite / Basaltic Andesite"
1660,"Trachybasalt / Tephrite Basanite"
1150,"Trachyandesite / Basaltic Trachyandesite"
4064,"Andesite / Basaltic Andesite"
4203,"Dacite"
3745,"Dacite"
3173,"Dacite"
3535,"Andesite / Basaltic Andesite"
3158,"Andesite / Basaltic Andesite"
3976,"Andesite / Basaltic Andesite"
3799,"Basalt / Picro-Basalt"
3760,"Andesite / Basaltic Andesite"
2569,"Basalt / Picro-Basalt"
1454,"Basalt / Picro-Basalt"
1845,"Andesite / Basaltic Andesite"
1802,"Basalt / Picro-Basalt"
1662,"Andesite / Basaltic Andesite"
1600,"Basalt / Picro-Basalt"
1600,"Basalt / Picro-Basalt"
1716,"Basalt / Picro-Basalt"
1192,"Basalt / Picro-Basalt"
2042,"Andesite / Basaltic Andesite"
1775,"Andesite / Basaltic Andesite"
1292,"Rhyolite"
926,"Basalt / Picro-Basalt"
2028,"Basalt / Picro-Basalt"
2381,"Andesite / Basaltic Andesite"
1950,"Andesite / Basaltic Andesite"
746,"Rhyolite"
1893,"Andesite / Basaltic Andesite"
665,"No Data (checked)"
450,"Dacite"
2149,"Andesite / Basaltic Andesite"
1172,"Basalt / Picro-Basalt"
1593,"Andesite / Basaltic Andesite"
1449,"Basalt / Picro-Basalt"
1640,"Basalt / Picro-Basalt"
1300,"Andesite / Basaltic Andesite"
2130,"Andesite / Basaltic Andesite"
181,"No Data (checked)"
774,"Basalt / Picro-Basalt"
640,"Basalt / Picro-Basalt"
1060,"Trachybasalt / Tephrite Basanite"
872,"Andesite / Basaltic Andesite"
1745,"Basalt / Picro-Basalt"
1745,"Basalt / Picro-Basalt"
1036,"Basalt / Picro-Basalt"
728,"Basalt / Picro-Basalt"
1088,"Andesite / Basaltic Andesite"
1270,"Basalt / Picro-Basalt"
518,"Dacite"
360,"Basalt / Picro-Basalt"
594,"Basalt / Picro-Basalt"
250,"Basalt / Picro-Basalt"
1344,"Andesite / Basaltic Andesite"
629,"Andesite / Basaltic Andesite"
1700,"Andesite / Basaltic Andesite"
1659,"Andesite / Basaltic Andesite"
1729,"Andesite / Basaltic Andesite"
2028,"Andesite / Basaltic Andesite"
1916,"Andesite / Basaltic Andesite"
1670,"Andesite / Basaltic Andesite"
2267,"Andesite / Basaltic Andesite"
2697,"Andesite / Basaltic Andesite"
2906,"Andesite / Basaltic Andesite"
3436,"Andesite / Basaltic Andesite"
3340,"Andesite / Basaltic Andesite"
3474,"Andesite / Basaltic Andesite"
3769,"Andesite / Basaltic Andesite"
3985,"Dacite"
5279,"Andesite / Basaltic Andesite"
4944,"Andesite / Basaltic Andesite"
4944,"Andesite / Basaltic Andesite"
5215,"Andesite / Basaltic Andesite"
2749,"Dacite"
5364,"Andesite / Basaltic Andesite"
4650,"Andesite / Basaltic Andesite"
4400,"Andesite / Basaltic Andesite"
4137,"Andesite / Basaltic Andesite"
4276,"Andesite / Basaltic Andesite"
4070,"Dacite"
4764,"Andesite / Basaltic Andesite"
4698,"Dacite"
3955,"Dacite"
4106,"Dacite"
3246,"Dacite"
4609,"Andesite / Basaltic Andesite"
4263,"Andesite / Basaltic Andesite"
5790,"Andesite / Basaltic Andesite"
3562,"Andesite / Basaltic Andesite"
3360,"Dacite"
4784,"Andesite / Basaltic Andesite"
4463,"Andesite / Basaltic Andesite"
4643,"Rhyolite"
5753,"Andesite / Basaltic Andesite"
4267,"Andesite / Basaltic Andesite"
3990,"Trachybasalt / Tephrite Basanite"
5162,"Andesite / Basaltic Andesite"
5911,"Andesite / Basaltic Andesite"
3914,"Dacite"
6261,"Andesite / Basaltic Andesite"
5023,"Andesite / Basaltic Andesite"
3322,"Andesite / Basaltic Andesite"
5286,"Andesite / Basaltic Andesite"
1476,"Basalt / Picro-Basalt"
790,"Basalt / Picro-Basalt"
1710,"Basalt / Picro-Basalt"
1330,"Basalt / Picro-Basalt"
1130,"Basalt / Picro-Basalt"
1124,"Basalt / Picro-Basalt"
1640,"Basalt / Picro-Basalt"
1640,"Basalt / Picro-Basalt"
729,"Basalt / Picro-Basalt"
343,"Basalt / Picro-Basalt"
64,"Basalt / Picro-Basalt"
920,"Basalt / Picro-Basalt"
864,"Basalt / Picro-Basalt"
707,"Basalt / Picro-Basalt"
707,"Basalt / Picro-Basalt"
3848,"Rhyolite"
5001,"No Data (checked)"
6377,"Andesite / Basaltic Andesite"
4713,"Trachyandesite / Basaltic Trachyandesite"
4554,"Trachyandesite / Basaltic Trachyandesite"
5960,"Andesite / Basaltic Andesite"
5793,"Andesite / Basaltic Andesite"
5608,"Andesite / Basaltic Andesite"
4679,"Dacite"
5382,"Dacite"
5801,"Andesite / Basaltic Andesite"
5495,"Andesite / Basaltic Andesite"
5626,"Trachyte / Trachydacite"
5860,"Dacite"
6336,"Andesite / Basaltic Andesite"
6071,"Andesite / Basaltic Andesite"
5550,"Andesite / Basaltic Andesite"
5430,"Andesite / Basaltic Andesite"
5163,"Andesite / Basaltic Andesite"
5705,"Andesite / Basaltic Andesite"
5884,"Dacite"
5961,"Andesite / Basaltic Andesite"
5916,"Andesite / Basaltic Andesite"
5598,"Dacite"
5703,"Dacite"
5631,"Andesite / Basaltic Andesite"
6023,"Dacite"
5778,"Andesite / Basaltic Andesite"
5592,"Andesite / Basaltic Andesite"
5852,"Andesite / Basaltic Andesite"
5910,"Andesite / Basaltic Andesite"
3550,"No Data (checked)"
4458,"Andesite / Basaltic Andesite"
3109,"Andesite / Basaltic Andesite"
6233,"Andesite / Basaltic Andesite"
4220,"Andesite / Basaltic Andesite"
6031,"Dacite"
6739,"Dacite"
5451,"Andesite / Basaltic Andesite"
5706,"Andesite / Basaltic Andesite"
5481,"Andesite / Basaltic Andesite"
5413,"Andesite / Basaltic Andesite"
6173,"No Data (checked)"
5906,"No Data (checked)"
6638,"Dacite"
6879,"Dacite"
6205,"Dacite"
6095,"Andesite / Basaltic Andesite"
4652,"Andesite / Basaltic Andesite"
6373,"No Data (checked)"
5741,"Andesite / Basaltic Andesite"
4670,"Rhyolite"
6658,"No Data (checked)"
501,"Basalt / Picro-Basalt"
5660,"Andesite / Basaltic Andesite"
6070,"Andesite / Basaltic Andesite"
5323,"Trachyandesite / Basaltic Trachyandesite"
4860,"Andesite / Basaltic Andesite"
5189,"Andesite / Basaltic Andesite"
4999,"Andesite / Basaltic Andesite"
4280,"Andesite / Basaltic Andesite"
3977,"Andesite / Basaltic Andesite"
3007,"Andesite / Basaltic Andesite"
3508,"Dacite"
3953,"Andesite / Basaltic Andesite"
3788,"Dacite"
3788,"Dacite"
2162,"Andesite / Basaltic Andesite"
3621,"Andesite / Basaltic Andesite"
3175,"Andesite / Basaltic Andesite"
2268,"Basalt / Picro-Basalt"
1890,"Andesite / Basaltic Andesite"
3715,"Trachybasalt / Tephrite Basanite"
3180,"Andesite / Basaltic Andesite"
4114,"Andesite / Basaltic Andesite"
2979,"Basalt / Picro-Basalt"
2953,"Trachybasalt / Tephrite Basanite"
3099,"Andesite / Basaltic Andesite"
2739,"Andesite / Basaltic Andesite"
2832,"Andesite / Basaltic Andesite"
1700,"Basalt / Picro-Basalt"
3125,"Basalt / Picro-Basalt"
2282,"Andesite / Basaltic Andesite"
1652,"Basalt / Picro-Basalt"
2847,"Basalt / Picro-Basalt"
2360,"Andesite / Basaltic Andesite"
3776,"Trachyandesite / Basaltic Trachyandesite"
2189,"Basalt / Picro-Basalt"
2422,"Andesite / Basaltic Andesite"
1114,"Basalt / Picro-Basalt"
2236,"Andesite / Basaltic Andesite"
1979,"Basalt / Picro-Basalt"
2493,"Andesite / Basaltic Andesite"
2659,"Basalt / Picro-Basalt"
3478,"Andesite / Basaltic Andesite"
506,"Basalt / Picro-Basalt"
1974,"Andesite / Basaltic Andesite"
2187,"Andesite / Basaltic Andesite"
1572,"Andesite / Basaltic Andesite"
1210,"Basalt / Picro-Basalt"
1344,"Trachybasalt / Tephrite Basanite"
1318,"Andesite / Basaltic Andesite"
2452,"Andesite / Basaltic Andesite"
1122,"Rhyolite"
1790,"Andesite / Basaltic Andesite"
1826,"Andesite / Basaltic Andesite"
2400,"Andesite / Basaltic Andesite"
524,"Basalt / Picro-Basalt"
1603,"Andesite / Basaltic Andesite"
2090,"Andesite / Basaltic Andesite"
2960,"Basalt / Picro-Basalt"
1905,"Basalt / Picro-Basalt"
3542,"Dacite"
2546,"Dacite"
1403,"Dacite"
1080,"Basalt / Picro-Basalt"
1758,"Andesite / Basaltic Andesite"
282,"Basalt / Picro-Basalt"
157,"Andesite / Basaltic Andesite"
887,"Andesite / Basaltic Andesite"
601,"Andesite / Basaltic Andesite"
1156,"Andesite / Basaltic Andesite"
985,"Andesite / Basaltic Andesite"
915,"Andesite / Basaltic Andesite"
1467,"Andesite / Basaltic Andesite"
861,"Andesite / Basaltic Andesite"
1430,"Andesite / Basaltic Andesite"
1387,"Andesite / Basaltic Andesite"
1224,"Andesite / Basaltic Andesite"
940,"Dacite"
1372,"Andesite / Basaltic Andesite"
777,"Andesite / Basaltic Andesite"
1220,"Andesite / Basaltic Andesite"
-185,"Basalt / Picro-Basalt"
840,"Andesite / Basaltic Andesite"
986,"Basalt / Picro-Basalt"
1063,"Basalt / Picro-Basalt"
140,"Basalt / Picro-Basalt"
360,"Basalt / Picro-Basalt"
610,"Basalt / Picro-Basalt"
803,"Basalt / Picro-Basalt"
550,"Basalt / Picro-Basalt"
200,"Basalt / Picro-Basalt"
1385,"Basalt / Picro-Basalt"
1100,"Basalt / Picro-Basalt"
1765,"Basalt / Picro-Basalt"
283,"Basalt / Picro-Basalt"
1651,"Basalt / Picro-Basalt"
1490,"Basalt / Picro-Basalt"
1464,"Basalt / Picro-Basalt"
1280,"Rhyolite"
1490,"Andesite / Basaltic Andesite"
1719,"Basalt / Picro-Basalt"
2000,"Basalt / Picro-Basalt"
1523,"Basalt / Picro-Basalt"
1930,"Basalt / Picro-Basalt"
1080,"Basalt / Picro-Basalt"
970,"Basalt / Picro-Basalt"
800,"Basalt / Picro-Basalt"
563,"Basalt / Picro-Basalt"
-75,"Basalt / Picro-Basalt"
2010,"Basalt / Picro-Basalt"
1620,"Basalt / Picro-Basalt"
5,"Basalt / Picro-Basalt"
2197,"Basalt / Picro-Basalt"
-3800,"No Data (checked)"
-4200,"No Data (checked)"
914,"Basalt / Picro-Basalt"
914,"Basalt / Picro-Basalt"
1041,"Andesite / Basaltic Andesite"
2351,"Basalt / Picro-Basalt"
1053,"Basalt / Picro-Basalt"
402,"Basalt / Picro-Basalt"
1023,"Basalt / Picro-Basalt"
-13,"Basalt / Picro-Basalt"
842,"Trachyte / Trachydacite"
350,"Trachybasalt / Tephrite Basanite"
947,"Trachyte / Trachydacite"
805,"Trachyte / Trachydacite"
-197,"No Data (checked)"
1862,"Basalt / Picro-Basalt"
2426,"Trachybasalt / Tephrite Basanite"
1500,"Trachybasalt / Tephrite Basanite"
3715,"Phonolite"
1950,"Trachybasalt / Tephrite Basanite"
529,"Basalt / Picro-Basalt"
670,"Basalt / Picro-Basalt"
2829,"Foidite"
956,"Foidite"
-1528,"No Data (checked)"
822,"Basalt / Picro-Basalt"
-1200,"No Data (checked)"
2060,"Trachybasalt / Tephrite Basanite"
365,"Trachyte / Trachydacite"
741,"Basalt / Picro-Basalt"
1239,"Trachybasalt / Tephrite Basanite"
1340,"Trachybasalt / Tephrite Basanite"
1167,"Trachybasalt / Tephrite Basanite"
3040,"Trachyandesite / Basaltic Trachyandesite"
2732,"Trachyte / Trachydacite"
-500,"No Data (checked)"
2723,"Phonolite"
3794,"Phonolite"
3000,"Trachyandesite / Basaltic Trachyandesite"
3478,"Trachyte / Trachydacite"
2978,"Trachyte / Trachydacite"
3460,"Trachyte / Trachydacite"
749,"Basalt / Picro-Basalt"
602,"Basalt / Picro-Basalt"
180,"Basalt / Picro-Basalt"
240,"Andesite / Basaltic Andesite"
353,"Basalt / Picro-Basalt"
1075,"Andesite / Basaltic Andesite"
1100,"Basalt / Picro-Basalt"
1370,"Basalt / Picro-Basalt"
843,"Basalt / Picro-Basalt"
550,"Basalt / Picro-Basalt"
835,"Basalt / Picro-Basalt"
190,"Andesite / Basaltic Andesite"
551,"Basalt / Picro-Basalt"
-55,"Rhyolite"
1544,"Basalt / Picro-Basalt"
