"Elevation","Rock Type"
1582,"Basalt / Picro-Basalt"
1255,"Basalt / Picro-Basalt"
1255,"Basalt / Picro-Basalt"
2080,"Basalt / Picro-Basalt"
2169,"Basalt / Picro-Basalt"
2300,"Basalt / Picro-Basalt"
2169,"Basalt / Picro-Basalt"
1340,"Basalt / Picro-Basalt"
1103,"Basalt / Picro-Basalt"
1250,"Basalt / Picro-Basalt"
1200,"Trachybasalt / Tephrite Basanite"
2765,"Trachybasalt / Tephrite Basanite"
1886,"Trachyandesite / Basaltic Trachyandesite"
1778,"Basalt / Picro-Basalt"
5400,"Phonolite"
400,"Basalt / Picro-Basalt"
560,"No Data (checked)"
2446,"No Data (checked)"
511,"Basalt / Picro-Basalt"
673,"Basalt / Picro-Basalt"
4959,"Andesite / Basaltic Andesite"
2760,"Basalt / Picro-Basalt"
1923,"Trachybasalt / Tephrite Basanite"
1711,"Basalt / Picro-Basalt"
1501,"Basalt / Picro-Basalt"
1168,"Basalt / Picro-Basalt"
1631,"Basalt / Picro-Basalt"
1535,"Basalt / Picro-Basalt"
2191,"Andesite / Basaltic Andesite"
1652,"Basalt / Picro-Basalt"
2886,"Basalt / Picro-Basalt"
2400,"Rhyolite"
1495,"Basalt / Picro-Basalt"
2805,"Rhyolite"
1465,"Trachybasalt / Tephrite Basanite"
2135,"Basalt / Picro-Basalt"
-1200,"No Data (checked)"
359,"Basalt / Picro-Basalt"
223,"Dacite"
260,"Trachybasalt / Tephrite Basanite"
443,"No Data (checked)"
1934,"Andesite / Basaltic Andesite"
95,"Basalt / Picro-Basalt"
3600,"Dacite"
775,"Basalt / Picro-Basalt"
4282,"Andesite / Basaltic Andesite"
3500,"Andesite / Basaltic Andesite"
3931,"Andesite / Basaltic Andesite"
1650,"Basalt / Picro-Basalt"
1192,"Basalt / Picro-Basalt"
781,"Basalt / Picro-Basalt"
1438,"Basalt / Picro-Basalt"
700,"Dacite"
1225,"Basalt / Picro-Basalt"
505,"Basalt / Picro-Basalt"
51,"Basalt / Picro-Basalt"
832,"Andesite / Basaltic Andesite"
1394,"Trachyandesite / Basaltic Trachyandesite"
899,"Basalt / Picro-Basalt"
603,"Basalt / Picro-Basalt"
926,"Basalt / Picro-Basalt"
203,"Trachybasalt / Tephrite Basanite"
1185,"Dacite"
4007,"No Data (checked)"
5490,"Andesite / Basaltic Andesite"
6059,"Andesite / Basaltic Andesite"
3175,"Andesite / Basaltic Andesite"
5960,"Andesite / Basaltic Andesite"
4215,"Rhyolite"
3650,"Basalt / Picro-Basalt"
5438,"Dacite"
5543,"Andesite / Basaltic Andesite"
5868,"Andesite / Basaltic Andesite"
5846,"Andesite / Basaltic Andesite"
6142,"Andesite / Basaltic Andesite"
4576,"Andesite / Basaltic Andesite"
3500,"Andesite / Basaltic Andesite"
6052,"Dacite"
5486,"Dacite"
3495,"Andesite / Basaltic Andesite"
159,"Trachybasalt / Tephrite Basanite"
922,"Basalt / Picro-Basalt"
-642,"No Data (checked)"
4702,"Dacite"
1435,"Basalt / Picro-Basalt"
2360,"Dacite"
2186,"Andesite / Basaltic Andesite"
2448,"Trachyandesite / Basaltic Trachyandesite"
1897,"Basalt / Picro-Basalt"
1846,"Basalt / Picro-Basalt"
681,"Basalt / Picro-Basalt"
718,"Basalt / Picro-Basalt"
725,"Basalt / Picro-Basalt"
600,"Foidite"
2987,"Trachybasalt / Tephrite Basanite"
3292,"Trachybasalt / Tephrite Basanite"
3110,"Basalt / Picro-Basalt"
3595,"Trachybasalt / Tephrite Basanite"
1640,"Basalt / Picro-Basalt"
368,"Basalt / Picro-Basalt"
600,"Foidite"
1464,"Basalt / Picro-Basalt"
893,"Trachybasalt / Tephrite Basanite"
1117,"Basalt / Picro-Basalt"
949,"Foidite"
458,"Trachyte / Trachydacite"
789,"Trachyte / Trachydacite"
-70,"Phonolite"
924,"Trachyandesite / Basaltic Trachyandesite"
399,"Andesite / Basaltic Andesite"
590,"Rhyolite"
500,"Trachybasalt / Tephrite Basanite"
3357,"Trachybasalt / Tephrite Basanite"
-8,"Trachybasalt / Tephrite Basanite"
836,"Rhyolite"
380,"Andesite / Basaltic Andesite"
751,"Rhyolite"
367,"Dacite"
698,"Dacite"
750,"Trachybasalt / Tephrite Basanite"
3253,"Dacite"
3864,"Dacite"
1957,"Basalt / Picro-Basalt"
2948,"Rhyolite"
3514,"Basalt / Picro-Basalt"
5165,"Andesite / Basaltic Andesite"
5642,"Dacite"
5004,"Andesite / Basaltic Andesite"
3290,"Andesite / Basaltic Andesite"
4095,"Andesite / Basaltic Andesite"
3597,"Andesite / Basaltic Andesite"
2575,"Andesite / Basaltic Andesite"
3029,"Andesite / Basaltic Andesite"
3139,"Andesite / Basaltic Andesite"
244,"Trachybasalt / Tephrite Basanite"
191,"Basalt / Picro-Basalt"
624,"Basalt / Picro-Basalt"
422,"Basalt / Picro-Basalt"
904,"Rhyolite"
-48,"No Data (checked)"
287,"Basalt / Picro-Basalt"
578,"Basalt / Picro-Basalt"
668,"Basalt / Picro-Basalt"
585,"Basalt / Picro-Basalt"
988,"Basalt / Picro-Basalt"
493,"Basalt / Picro-Basalt"
1625,"Basalt / Picro-Basalt"
2218,"Trachyte / Trachydacite"
1875,"Trachyte / Trachydacite"
1611,"Basalt / Picro-Basalt"
1338,"Basalt / Picro-Basalt"
493,"Basalt / Picro-Basalt"
655,"Basalt / Picro-Basalt"
784,"Basalt / Picro-Basalt"
1250,"Rhyolite"
1745,"Rhyolite"
1496,"Basalt / Picro-Basalt"
1401,"Basalt / Picro-Basalt"
1302,"Basalt / Picro-Basalt"
600,"Basalt / Picro-Basalt"
625,"Basalt / Picro-Basalt"
600,"Basalt / Picro-Basalt"
1993,"Rhyolite"
600,"Basalt / Picro-Basalt"
987,"Basalt / Picro-Basalt"
298,"Basalt / Picro-Basalt"
700,"Basalt / Picro-Basalt"
1068,"Basalt / Picro-Basalt"
1459,"Rhyolite"
1383,"Rhyolite"
2145,"Rhyolite"
1670,"Rhyolite"
900,"Basalt / Picro-Basalt"
878,"No Data (checked)"
1151,"Rhyolite"
2007,"Rhyolite"
1100,"Basalt / Picro-Basalt"
1380,"Rhyolite"
2447,"Rhyolite"
1850,"Basalt / Picro-Basalt"
1765,"Basalt / Picro-Basalt"
1909,"Rhyolite"
2345,"Rhyolite"
1889,"Basalt / Picro-Basalt"
2281,"Basalt / Picro-Basalt"
2335,"Rhyolite"
2075,"Rhyolite"
2289,"Rhyolite"
1700,"No Data (checked)"
912,"Trachybasalt / Tephrite Basanite"
490,"Trachyandesite / Basaltic Trachyandesite"
518,"Basalt / Picro-Basalt"
800,"Basalt / Picro-Basalt"
1707,"Basalt / Picro-Basalt"
1032,"Trachyte / Trachydacite"
817,"Basalt / Picro-Basalt"
699,"Basalt / Picro-Basalt"
1285,"Trachyte / Trachydacite"
1528,"Trachyte / Trachydacite"
1697,"Trachyte / Trachydacite"
1446,"Trachyte / Trachydacite"
1130,"Basalt / Picro-Basalt"
750,"Basalt / Picro-Basalt"
2278,"Trachyte / Trachydacite"
1751,"Foidite"
2126,"Basalt / Picro-Basalt"
2856,"Rhyolite"
2434,"Rhyolite"
2776,"Trachyte / Trachydacite"
2356,"Phonolite"
2962,"Foidite"
2188,"Trachybasalt / Tephrite Basanite"
4550,"Phonolite"
2614,"Trachyte / Trachydacite"
2953,"Trachyte / Trachydacite"
2176,"Trachyte / Trachydacite"
1615,"Foidite"
1300,"Foidite"
3058,"Trachybasalt / Tephrite Basanite"
3470,"Foidite"
4490,"Trachybasalt / Tephrite Basanite"
2999,"Basalt / Picro-Basalt"
4095,"Trachybasalt / Tephrite Basanite"
500,"Trachybasalt / Tephrite Basanite"
3011,"Basalt / Picro-Basalt"
1780,"Basalt / Picro-Basalt"
1467,"Trachybasalt / Tephrite Basanite"
2918,"Trachybasalt / Tephrite Basanite"
1672,"Trachybasalt / Tephrite Basanite"
2000,"Basalt / Picro-Basalt"
3299,"Trachyte / Trachydacite"
3100,"Trachyte / Trachydacite"
3415,"Trachyte / Trachydacite"
3042,"Basalt / Picro-Basalt"
1779,"Basalt / Picro-Basalt"
2000,"Trachybasalt / Tephrite Basanite"
670,"Trachybasalt / Tephrite Basanite"
1100,"Basalt / Picro-Basalt"
1370,"Basalt / Picro-Basalt"
1625,"Basalt / Picro-Basalt"
2093,"Basalt / Picro-Basalt"
1744,"Basalt / Picro-Basalt"
1475,"Trachybasalt / Tephrite Basanite"
587,"Basalt / Picro-Basalt"
305,"Basalt / Picro-Basalt"
3100,"Trachybasalt / Tephrite Basanite"
1550,"Basalt / Picro-Basalt"
3500,"Basalt / Picro-Basalt"
1737,"Trachybasalt / Tephrite Basanite"
604,"Basalt / Picro-Basalt"
464,"Basalt / Picro-Basalt"
5670,"Trachyandesite / Basaltic Trachyandesite"
1064,"Trachybasalt / Tephrite Basanite"
660,"Basalt / Picro-Basalt"
2350,"Basalt / Picro-Basalt"
2632,"Basalt / Picro-Basalt"
-650,"Basalt / Picro-Basalt"
881,"Basalt / Picro-Basalt"
268,"Basalt / Picro-Basalt"
2745,"Trachybasalt / Tephrite Basanite"
263,"Phonolite"
1840,"Trachyandesite / Basaltic Trachyandesite"
1090,"Basalt / Picro-Basalt"
934,"Basalt / Picro-Basalt"
775,"Basalt / Picro-Basalt"
672,"Basalt / Picro-Basalt"
1230,"Basalt / Picro-Basalt"
260,"Trachybasalt / Tephrite Basanite"
355,"Rhyolite"
2518,"Andesite / Basaltic Andesite"
294,"Andesite / Basaltic Andesite"
1111,"Rhyolite"
760,"Rhyolite"
1978,"Andesite / Basaltic Andesite"
2797,"Andesite / Basaltic Andesite"
-860,"Basalt / Picro-Basalt"
-600,"Basalt / Picro-Basalt"
-400,"Andesite / Basaltic Andesite"
-500,"Andesite / Basaltic Andesite"
-220,"Andesite / Basaltic Andesite"
-1200,"Andesite / Basaltic Andesite"
-980,"Dacite"
-1350,"Dacite"
-900,"Basalt / Picro-Basalt"
47,"Andesite / Basaltic Andesite"
238,"Basalt / Picro-Basalt"
-65,"Basalt / Picro-Basalt"
516,"Andesite / Basaltic Andesite"
-132,"Basalt / Picro-Basalt"
-385,"Basalt / Picro-Basalt"
-68,"No Data (checked)"
-65,"Andesite / Basaltic Andesite"
-296,"No Data (checked)"
114,"Andesite / Basaltic Andesite"
-17,"Andesite / Basaltic Andesite"
515,"Andesite / Basaltic Andesite"
1009,"Andesite / Basaltic Andesite"
43,"Dacite"
-10,"Dacite"
540,"Andesite / Basaltic Andesite"
-40,"Dacite"
188,"Dacite"
546,"Andesite / Basaltic Andesite"
-33,"Dacite"
260,"Basalt / Picro-Basalt"
-1400,"Basalt / Picro-Basalt"
-1174,"Andesite / Basaltic Andesite"
-592,"Basalt / Picro-Basalt"
931,"Basalt / Picro-Basalt"
639,"Basalt / Picro-Basalt"
653,"Basalt / Picro-Basalt"
1100,"Basalt / Picro-Basalt"
1858,"Basalt / Picro-Basalt"
1241,"Basalt / Picro-Basalt"
791,"Andesite / Basaltic Andesite"
270,"Rhyolite"
-1300,"No Data (checked)"
402,"Andesite / Basaltic Andesite"
365,"Andesite / Basaltic Andesite"
685,"Andesite / Basaltic Andesite"
1807,"Basalt / Picro-Basalt"
1839,"Andesite / Basaltic Andesite"
-5,"No Data (checked)"
1263,"Andesite / Basaltic Andesite"
1335,"Basalt / Picro-Basalt"
75,"Basalt / Picro-Basalt"
947,"Basalt / Picro-Basalt"
1330,"Basalt / Picro-Basalt"
408,"Andesite / Basaltic Andesite"
1116,"Andesite / Basaltic Andesite"
565,"Rhyolite"
564,"Andesite / Basaltic Andesite"
796,"Andesite / Basaltic Andesite"
724,"Dacite"
610,"Andesite / Basaltic Andesite"
1148,"Dacite"
2248,"Andesite / Basaltic Andesite"
2334,"Basalt / Picro-Basalt"
878,"Basalt / Picro-Basalt"
688,"Dacite"
200,"Rhyolite"
1680,"Andesite / Basaltic Andesite"
1915,"Andesite / Basaltic Andesite"
1342,"Trachybasalt / Tephrite Basanite"
1832,"Andesite / Basaltic Andesite"
493,"Trachyandesite / Basaltic Trachyandesite"
220,"Andesite / Basaltic Andesite"
194,"Andesite / Basaltic Andesite"
500,"Rhyolite"
2715,"Andesite / Basaltic Andesite"
1544,"Andesite / Basaltic Andesite"
1855,"Andesite / Basaltic Andesite"
2210,"Andesite / Basaltic Andesite"
1887,"Andesite / Basaltic Andesite"
335,"Andesite / Basaltic Andesite"
-700,"Dacite"
-717,"No Data (checked)"
-20,"Andesite / Basaltic Andesite"
-240,"Andesite / Basaltic Andesite"
455,"Andesite / Basaltic Andesite"
796,"Andesite / Basaltic Andesite"
411,"Basalt / Picro-Basalt"
921,"Andesite / Basaltic Andesite"
729,"Andesite / Basaltic Andesite"
1496,"Basalt / Picro-Basalt"
1334,"Basalt / Picro-Basalt"
1413,"Basalt / Picro-Basalt"
833,"Basalt / Picro-Basalt"
-2,"Basalt / Picro-Basalt"
589,"Basalt / Picro-Basalt"
817,"Basalt / Picro-Basalt"
361,"Andesite / Basaltic Andesite"
-33,"Basalt / Picro-Basalt"
177,"Andesite / Basaltic Andesite"
297,"Andesite / Basaltic Andesite"
1011,"Trachybasalt / Tephrite Basanite"
354,"Basalt / Picro-Basalt"
2785,"Andesite / Basaltic Andesite"
2617,"Andesite / Basaltic Andesite"
2181,"Andesite / Basaltic Andesite"
2460,"Andesite / Basaltic Andesite"
2145,"Andesite / Basaltic Andesite"
1988,"Andesite / Basaltic Andesite"
2911,"Andesite / Basaltic Andesite"
2885,"Andesite / Basaltic Andesite"
2879,"Andesite / Basaltic Andesite"
2575,"Andesite / Basaltic Andesite"
3800,"Andesite / Basaltic Andesite"
2507,"Andesite / Basaltic Andesite"
2507,"Andesite / Basaltic Andesite"
1962,"Andesite / Basaltic Andesite"
3142,"Andesite / Basaltic Andesite"
2836,"No Data (checked)"
1854,"Dacite"
1000,"No Data (checked)"
285,"Andesite / Basaltic Andesite"
1324,"Andesite / Basaltic Andesite"
1768,"Andesite / Basaltic Andesite"
1726,"Andesite / Basaltic Andesite"
2218,"Andesite / Basaltic Andesite"
3026,"Andesite / Basaltic Andesite"
2422,"Andesite / Basaltic Andesite"
2084,"Andesite / Basaltic Andesite"
2643,"Andesite / Basaltic Andesite"
2251,"Andesite / Basaltic Andesite"
1690,"Andesite / Basaltic Andesite"
2168,"Basalt / Picro-Basalt"
2201,"Basalt / Picro-Basalt"
3039,"Andesite / Basaltic Andesite"
3428,"Basalt / Picro-Basalt"
2565,"Andesite / Basaltic Andesite"
3149,"Andesite / Basaltic Andesite"
3370,"Andesite / Basaltic Andesite"
3370,"Andesite / Basaltic Andesite"
3118,"Basalt / Picro-Basalt"
2910,"Andesite / Basaltic Andesite"
3265,"Andesite / Basaltic Andesite"
1730,"Andesite / Basaltic Andesite"
2651,"No Data (checked)"
3343,"Andesite / Basaltic Andesite"
